"style","artist","song","label","bpm_exact","preview_url","release_date","duration_sec","country","city","artist_bio","artist_genre","artist_profile_hint","source","source_url","track_url","deezer_track_id","deezer_track_url","cover_art_url","youtube_track_url","soundcloud_track_url","bandcamp_track_url","bandcamp_track_id","source_tags","album_keywords","energy_band","catalog_role","confidence","source_note","social_discovery_links","label_links"
"psycore","Tzu Jan","en-tel-echeia","Tzu - Jan - Entelechie","","","","","Austria","Salzburg","Tzu Jan e o duo austriaco Sebastian e Natalie, com albums Bandcamp em darkpsy, experimental, psycore e psytrance.","darkpsy / psycore / experimental psychedelic","Usar Tzu Jan para darkpsy/psycore experimental; nao confundir com hitech puro apesar da velocidade.","mop_brasil_2026_rage_stage_research","https://tzu-jan-official.bandcamp.com/album/tzu-jan-entelechie","https://tzu-jan-official.bandcamp.com/album/tzu-jan-entelechie","","","","","","https://tzu-jan-official.bandcamp.com/album/tzu-jan-entelechie","","darkpsy;experimental;psycore","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Entelechie no Bandcamp traz tags darkpsy, experimental, psycore e psytrance.","https://tzu-jan-official.bandcamp.com/",""
"psycore","Tzu Jan","perceptio","Tzu - Jan - Entelechie","","","","","Austria","Salzburg","Tzu Jan e o duo austriaco Sebastian e Natalie, com albums Bandcamp em darkpsy, experimental, psycore e psytrance.","darkpsy / psycore / experimental psychedelic","Usar Tzu Jan para darkpsy/psycore experimental; nao confundir com hitech puro apesar da velocidade.","mop_brasil_2026_rage_stage_research","https://tzu-jan-official.bandcamp.com/album/tzu-jan-entelechie","https://tzu-jan-official.bandcamp.com/album/tzu-jan-entelechie","","","","","","https://tzu-jan-official.bandcamp.com/album/tzu-jan-entelechie","","darkpsy;experimental;psycore","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Entelechie no Bandcamp traz tags darkpsy, experimental, psycore e psytrance.","https://tzu-jan-official.bandcamp.com/",""
"psycore","Tzu Jan","Annunaki","Tzu Jan vs Phreneticus","","","","","Austria","Salzburg","Tzu Jan e o duo austriaco Sebastian e Natalie, com albums Bandcamp em darkpsy, experimental, psycore e psytrance.","darkpsy / psycore / experimental psychedelic","Usar Tzu Jan para darkpsy/psycore experimental; nao confundir com hitech puro apesar da velocidade.","mop_brasil_2026_rage_stage_research","https://tzu-jan-official.bandcamp.com/track/tzu-jan-vs-phreneticus-annunaki","https://tzu-jan-official.bandcamp.com/track/tzu-jan-vs-phreneticus-annunaki","","","","","","https://tzu-jan-official.bandcamp.com/track/tzu-jan-vs-phreneticus-annunaki","","darkpsy;experimental;psycore","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Entelechie no Bandcamp traz tags darkpsy, experimental, psycore e psytrance.","https://tzu-jan-official.bandcamp.com/",""
"dark_psy","Absurdus","Transmutation","Absurdus","","","","","Hungary","","Absurdus aparece no recorte darkpsy europeu com faixas como Transmutation e Zephyrum em plataformas abertas.","darkpsy / night psytrance","Classificar como darkpsy de alta energia; nao promover a psycore/hitech sem BPM ou fonte de release.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/track/3528600411","https://www.deezer.com/track/3528600411","3528600411","https://www.deezer.com/track/3528600411","","","","","","darkpsy;night_psy","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Deezer confirma Transmutation e Zephyrum sob o mesmo artista; fonte social usa hashtags psytrance/darkpsy.","https://www.instagram.com/absurdusmuzik/",""
"dark_psy","Absurdus","Zephyrum","Absurdus","","","","","Hungary","","Absurdus aparece no recorte darkpsy europeu com faixas como Transmutation e Zephyrum em plataformas abertas.","darkpsy / night psytrance","Classificar como darkpsy de alta energia; nao promover a psycore/hitech sem BPM ou fonte de release.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/track/3930295991","https://www.deezer.com/track/3930295991","3930295991","https://www.deezer.com/track/3930295991","","","","","","darkpsy;night_psy","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Deezer confirma Transmutation e Zephyrum sob o mesmo artista; fonte social usa hashtags psytrance/darkpsy.","https://www.instagram.com/absurdusmuzik/",""
"psycore","Varasurdum","Mechanika","Varasurdum","","","","","Hungary","","Varasurdum e a colaboracao Varazslo com Absurdus, usada em lineups de MOP e Zenovoid para sets e faixas publicas.","darkpsy / psycore live collaboration","Tratar Varasurdum como projeto colaborativo de Varazslo e Absurdus; nao duplicar como DJ sem faixa.","mop_brasil_2026_rage_stage_research","https://www.youtube.com/watch?v=B6S2o7sCIj8","https://www.youtube.com/watch?v=B6S2o7sCIj8","","","","https://www.youtube.com/watch?v=B6S2o7sCIj8","","","","psycore;darkpsy;varazslo_absurdus","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","medium_high","Mechanika aparece como faixa publica de Varasurdum; lineup portugues tambem descreve Varasurdum como Varazslo vs Absurdus.","https://www.youtube.com/watch?v=B6S2o7sCIj8","https://zenovoidrecords.bandcamp.com/"
"psycore","Varazslo","Turan","Varazslo","","","","","Hungary","","Varazslo e projeto hungaro de alta intensidade, com album Expressed Impressions e releases Zenovoid/Sacred Sound.","psycore / darkpsy / high-BPM psychedelic trance","Classificar como psycore/darkpsy de alta velocidade; evitar darkpsy generico quando a faixa for high-BPM/psycore.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/track/3523326601","https://www.deezer.com/track/3523326601","3523326601","https://www.deezer.com/track/3523326601","","","","","","psycore;darkpsy","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Expressed Impressions aparece em Bandcamp e Exorbeatal como Darkpsy/Psycore.","https://zenovoidrecords.bandcamp.com/album/scrapbook","https://sacredsoundrecs.bandcamp.com/"
"psycore","Varazslo","Promised Land","Varazslo","","","","","Hungary","","Varazslo e projeto hungaro de alta intensidade, com album Expressed Impressions e releases Zenovoid/Sacred Sound.","psycore / darkpsy / high-BPM psychedelic trance","Classificar como psycore/darkpsy de alta velocidade; evitar darkpsy generico quando a faixa for high-BPM/psycore.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/track/1767007317","https://www.deezer.com/track/1767007317","1767007317","https://www.deezer.com/track/1767007317","","","","","","psycore;darkpsy","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Expressed Impressions aparece em Bandcamp e Exorbeatal como Darkpsy/Psycore.","https://zenovoidrecords.bandcamp.com/album/scrapbook","https://sacredsoundrecs.bandcamp.com/"
"psycore","Varazslo","Hall of Purity","Varazslo","","","","","Hungary","","Varazslo e projeto hungaro de alta intensidade, com album Expressed Impressions e releases Zenovoid/Sacred Sound.","psycore / darkpsy / high-BPM psychedelic trance","Classificar como psycore/darkpsy de alta velocidade; evitar darkpsy generico quando a faixa for high-BPM/psycore.","mop_brasil_2026_rage_stage_research","https://sacredsoundrecs.bandcamp.com/album/expressed-impressions-free-download","https://www.deezer.com/track/1767007297","1767007297","https://www.deezer.com/track/1767007297","","","","https://sacredsoundrecs.bandcamp.com/album/expressed-impressions-free-download","","psycore;darkpsy","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Expressed Impressions aparece em Bandcamp e Exorbeatal como Darkpsy/Psycore.","https://zenovoidrecords.bandcamp.com/album/scrapbook","https://sacredsoundrecs.bandcamp.com/"
"psycore","Varazslo","Information","Varazslo","","","","","Hungary","","Varazslo e projeto hungaro de alta intensidade, com album Expressed Impressions e releases Zenovoid/Sacred Sound.","psycore / darkpsy / high-BPM psychedelic trance","Classificar como psycore/darkpsy de alta velocidade; evitar darkpsy generico quando a faixa for high-BPM/psycore.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/track/1597215172","https://www.deezer.com/track/1597215172","1597215172","https://www.deezer.com/track/1597215172","","","","","","psycore;darkpsy","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Expressed Impressions aparece em Bandcamp e Exorbeatal como Darkpsy/Psycore.","https://zenovoidrecords.bandcamp.com/album/scrapbook","https://sacredsoundrecs.bandcamp.com/"
"hi_tech","KiLLATK","Babaji Vibes","KiLLATK","","","","","Brazil","Sao Paulo","KiLLATK e projeto brasileiro de Sao Paulo ligado ao hi-tech psytrance, com faixas como Babaji Vibes e Nitrous Drive.","hi-tech psytrance / psytrance","Usar KiLLATK como hi_tech; nao puxar para dark experimental so por estar na Rage Stage.","mop_brasil_2026_rage_stage_research","https://www.youtube.com/watch?v=zKnm2-WJl8M","https://www.deezer.com/track/2787422672","2787422672","https://www.deezer.com/track/2787422672","","https://www.youtube.com/watch?v=zKnm2-WJl8M","","","","hi_tech;psytrance","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Deezer confirma discografia; Viberate descreve como artista brasileiro de electronic/psy trance.","https://www.viberate.com/artist/killatk/",""
"hi_tech","KiLLATK","NITROUS DRIVE","KiLLATK","","","","","Brazil","Sao Paulo","KiLLATK e projeto brasileiro de Sao Paulo ligado ao hi-tech psytrance, com faixas como Babaji Vibes e Nitrous Drive.","hi-tech psytrance / psytrance","Usar KiLLATK como hi_tech; nao puxar para dark experimental so por estar na Rage Stage.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/track/3966402071","https://www.deezer.com/track/3966402071","3966402071","https://www.deezer.com/track/3966402071","","","","","","hi_tech;psytrance","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Deezer confirma discografia; Viberate descreve como artista brasileiro de electronic/psy trance.","https://www.viberate.com/artist/killatk/",""
"hi_tech","KiLLATK","Litanies of Satan","KiLLATK","","","","","Brazil","Sao Paulo","KiLLATK e projeto brasileiro de Sao Paulo ligado ao hi-tech psytrance, com faixas como Babaji Vibes e Nitrous Drive.","hi-tech psytrance / psytrance","Usar KiLLATK como hi_tech; nao puxar para dark experimental so por estar na Rage Stage.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/track/608098002","https://www.deezer.com/track/608098002","608098002","https://www.deezer.com/track/608098002","","","","","","hi_tech;psytrance","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Deezer confirma discografia; Viberate descreve como artista brasileiro de electronic/psy trance.","https://www.viberate.com/artist/killatk/",""
"hi_tech","Mentalecho","Bam Bam","Digital Nature","","https://cdnt-preview.dzcdn.net/api/1/1/3/d/a/0/3da6dfa56a68c952ec3f9d8ac1f9514b.mp3?hdnea=exp=1782083055~acl=/api/1/1/3/d/a/0/3da6dfa56a68c952ec3f9d8ac1f9514b.mp3*~data=user_id=0,application_id=42~hmac=525f8d2de4839e49952925ade2876ef4c5042e93d423e09ea837174757e4c395","2018-04-09","375","Portugal","","Mentalecho e projeto solo de Bernardo Fialho, publicado pela Black Out Records com EP Digital Nature e faixas de hi-tech.","hi-tech psytrance / experimental psytrance","Classificar como hi_tech; nao confundir com dark experimental apenas pela estetica psicodelica.","mop_brasil_2026_rage_stage_research","https://blackoutrec.bandcamp.com/album/mentalecho-digital-nature","https://www.deezer.com/track/473635172","473635172","https://www.deezer.com/track/473635172","https://cdn-images.dzcdn.net/images/cover/019fc56f501113756dd42d5f6cc80e66/1000x1000-000000-80-0-0.jpg","https://www.youtube.com/watch?v=QhL1VRzCOcU","","https://blackoutrec.bandcamp.com/album/mentalecho-digital-nature","","hi_tech;digital_nature","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Black Out Records descreve Mentalecho como projeto solo e lista Digital Nature.","https://blackoutrec.bandcamp.com/album/mentalecho-digital-nature","https://blackoutrec.bandcamp.com/"
"hi_tech","Mentalecho","Codex Gigas","Digital Nature","","https://cdnt-preview.dzcdn.net/api/1/1/d/7/c/0/d7cb65764378b3e102c9cb0c8764a88f.mp3?hdnea=exp=1782083055~acl=/api/1/1/d/7/c/0/d7cb65764378b3e102c9cb0c8764a88f.mp3*~data=user_id=0,application_id=42~hmac=494a9e9eb1f5153bf6f82dff6c256db0ca6b027a12023a210f954f98dd4cb5ab","2018-04-09","447","Portugal","","Mentalecho e projeto solo de Bernardo Fialho, publicado pela Black Out Records com EP Digital Nature e faixas de hi-tech.","hi-tech psytrance / experimental psytrance","Classificar como hi_tech; nao confundir com dark experimental apenas pela estetica psicodelica.","mop_brasil_2026_rage_stage_research","https://blackoutrec.bandcamp.com/album/mentalecho-digital-nature","https://www.deezer.com/track/473635192","473635192","https://www.deezer.com/track/473635192","https://cdn-images.dzcdn.net/images/cover/019fc56f501113756dd42d5f6cc80e66/1000x1000-000000-80-0-0.jpg","","","https://blackoutrec.bandcamp.com/album/mentalecho-digital-nature","","hi_tech","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Black Out Records descreve Mentalecho como projeto solo e lista Digital Nature.","https://blackoutrec.bandcamp.com/album/mentalecho-digital-nature","https://blackoutrec.bandcamp.com/"
"hi_tech","Mentalecho","Tomorrow Never Comes","Mentalecho","","https://cdnt-preview.dzcdn.net/api/1/1/d/8/8/0/d8834b44ddf06d90d97d91507128291e.mp3?hdnea=exp=1782083055~acl=/api/1/1/d/8/8/0/d8834b44ddf06d90d97d91507128291e.mp3*~data=user_id=0,application_id=42~hmac=db56e993abf2399de33428ba63ca34367172ed93777574682565ce99cd1edef5","2022-08-11","378","Portugal","","Mentalecho e projeto solo de Bernardo Fialho, publicado pela Black Out Records com EP Digital Nature e faixas de hi-tech.","hi-tech psytrance / experimental psytrance","Classificar como hi_tech; nao confundir com dark experimental apenas pela estetica psicodelica.","mop_brasil_2026_rage_stage_research","https://www.deezer.com/track/1855221107","https://www.deezer.com/track/1855221107","1855221107","https://www.deezer.com/track/1855221107","https://cdn-images.dzcdn.net/images/cover/2c68da598ed9b97861ae31e7754da93e/1000x1000-000000-80-0-0.jpg","","","","","hi_tech","Masters of Puppets Brazil 2026 - Rage Stage by Void Brasil;Rage Stage;Void Brasil","festival_lineup_verified","mop_brasil_2026_rage_stage_anchor;producer_with_verified_tracks","high","Black Out Records descreve Mentalecho como projeto solo e lista Digital Nature.","https://blackoutrec.bandcamp.com/album/mentalecho-digital-nature","https://blackoutrec.bandcamp.com/"
