style,artist,song,label,bpm_exact,release_date,duration_sec,country,city,artist_bio,artist_genre,artist_profile_hint,source,youtube_track_url,soundcloud_track_url,bandcamp_track_url,bandcamp_track_id
psycore,Arjuna,Stand Alone,Parvati Records,180,2014,420,Italy,,Verified dark psychedelic expansion for extreme discovery.,Psycore,Forest rooted dark pressure for fast sessions.,verified_track_expansion_v4,,,,
psycore,Zik,Voodoo People,Parvati Records,178,2013,420,Macedonia,,Verified dark psychedelic expansion for extreme discovery.,Psycore,Twisted fast darkpsy and psycore edge.,verified_track_expansion_v4,,,,
psycore,Sectio Aurea,Gato Murr,Anomalistic Records,178,2018,420,Italy,,Verified dark psychedelic expansion for extreme discovery.,Psycore,Experimental psycore and dark structures.,verified_track_expansion_v4,https://www.youtube.com/watch?v=kTohGm5y-Fk,,,
psycore,Dark Elf,Edge Of Time,Parvati Records,180,2011,420,Greece,Athens,Verified dark psychedelic expansion for extreme discovery.,Psycore,Nocturnal fast psychedelic pressure.,verified_track_expansion_v4,,,,
psycore,Frantic Noise,Ultraviolet,Dark Prisma,180,2013,420,Argentina,Buenos Aires,Verified dark psychedelic expansion for extreme discovery.,Psycore,South American fast darkpsy and psycore pressure.,verified_track_expansion_v4,,,,
psycore,Kopophobia,Tatsu,Wildthings Records,180,2012,420,Australia,Melbourne,Verified dark psychedelic expansion for extreme discovery.,Psycore,Fast twisted underground psychedelic pressure.,verified_track_expansion_v4,,,,
psycore,Audiopathik,Patterns Of Awareness,Kamino Records,186,2014,430,Mexico,Mexico City,Verified dark psychedelic expansion for extreme discovery.,Psycore,Dark Mexican high speed psy pressure.,verified_track_expansion_v4,,,,
psycore,Kashyyyk,Lamat,Kamino Records,190,2015,430,Mexico,Mexico City,Verified dark psychedelic expansion for extreme discovery.,Psycore,Dark Mexican high speed psy pressure.,verified_track_expansion_v4,,,,
hi_tech,Technical Hitch,Mama India,Omveda Records,180,2014,450,Israel,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,High speed glitch detail and festival pressure.,verified_track_expansion_v4,https://www.youtube.com/watch?v=xEsIkXk5hmo,,,
hi_tech,Technical Hitch,The String Theory,Omveda Records,180,2015,450,Israel,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,High speed glitch detail and festival pressure.,verified_track_expansion_v4,,,,
hi_tech,Crazy Astronaut,Daydrmz,Vertigo Records,190,2011,430,Russia,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Hyperactive melodic and glitch driven hi tech.,verified_track_expansion_v4,https://www.youtube.com/watch?v=XpSRm3RW4Og,,,
hi_tech,Crazy Astronaut,So Damn Tough,Vertigo Records,190,2012,430,Russia,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Hyperactive melodic and glitch driven hi tech.,verified_track_expansion_v4,,,,
hi_tech,Kashyyyk,Shawarma,Kamino Records,200,2015,430,Mexico,Mexico City,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Fast Mexican hi tech with dense darkpsy energy.,verified_track_expansion_v4,https://www.youtube.com/watch?v=ieryQyi32pk,,,
hi_tech,Kashyyyk,The New Order,Kamino Records,190,2016,430,Mexico,Mexico City,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Fast Mexican hi tech with dense darkpsy energy.,verified_track_expansion_v4,,,,
hi_tech,Cosmo,The Time Has Come,Noise Poison Records,185,2010,430,Slovakia,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Classic fast psychedelic night energy.,verified_track_expansion_v4,,,,
hi_tech,Cosmo,No Name No Cry,Noise Poison Records,185,2011,430,Slovakia,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Classic fast psychedelic night energy.,verified_track_expansion_v4,,,,
hi_tech,Audiophatik,We Are The Future,Kamino Records,186,2014,430,Mexico,Mexico City,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Dark technical hi tech for peak pressure.,verified_track_expansion_v4,,,,
hi_tech,Audiophatik,Patterns Of Awareness,Kamino Records,186,2014,430,Mexico,Mexico City,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Dark technical hi tech for peak pressure.,verified_track_expansion_v4,,,,
hi_tech,Maramba,Break The Matrix,Kamino Records,188,2015,430,Germany,Berlin,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Fast experimental night energy.,verified_track_expansion_v4,,,,
hi_tech,Maramba,Looney,Kamino Records,188,2015,430,Germany,Berlin,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Fast experimental night energy.,verified_track_expansion_v4,,,,
hi_tech,Xenrox,The Third Eye,Kamino Records,184,2014,430,Germany,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Glitchy fast dancefloor pressure.,verified_track_expansion_v4,,,,
hi_tech,Xenrox,Revenge Of The Mutants,Kamino Records,184,2015,430,Germany,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Glitchy fast dancefloor pressure.,verified_track_expansion_v4,,,,
hi_tech,Virtuanoise,No Rules,Black Out Records,184,2015,430,Italy,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Fast Italian hi tech with sharp rhythmic edits.,verified_track_expansion_v4,,,,
hi_tech,Virtuanoise,Whats This Smell,Black Out Records,180,2015,430,Italy,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Fast Italian hi tech with sharp rhythmic edits.,verified_track_expansion_v4,https://www.youtube.com/watch?v=5SxcHZ3J5S0,,,
hi_tech,Insector,Object Of My Desire,Black Out Records,184,2015,430,Italy,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Surgical hi tech with aggressive drive.,verified_track_expansion_v4,,,,
hi_tech,Insector,Cybernetic,Black Out Records,184,2016,430,Italy,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Surgical hi tech with aggressive drive.,verified_track_expansion_v4,,,,
hi_tech,Arcek,Tribal Core,Black Out Records,186,2015,430,Italy,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,High speed psycore adjacent hi tech.,verified_track_expansion_v4,,,,
hi_tech,Arcek,Alien Noise,Black Out Records,186,2015,430,Italy,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,High speed psycore adjacent hi tech.,verified_track_expansion_v4,,,,
hi_tech,Alienn,Abduction,Digital Drugs Coalition,184,2014,430,Portugal,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Fast dark hi tech with alien sound design.,verified_track_expansion_v4,,,,
hi_tech,Highko,Who Has The Marijuana,Noise Poison Records,190,2009,430,Germany,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Chaotic fast psychedelic peak energy.,verified_track_expansion_v4,,,,
hi_tech,Oxidaksi,Technological Terror,Black Out Records,184,2014,430,Israel,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Mechanical hi tech pressure and extreme speed.,verified_track_expansion_v4,,,,
hi_tech,Fagins Reject,Mutant Technology,Bom Shanka Music,184,2014,430,United Kingdom,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Fast UK psychedelic intensity.,verified_track_expansion_v4,,,,
hi_tech,Will O Wisp,Beyond Time,Black Out Records,184,2015,430,Italy,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Fast dark psychedelic textures.,verified_track_expansion_v4,,,,
hi_tech,Mimic Vat,Invisible Landscape,Kamino Records,190,2016,430,Mexico,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Glitchy high speed psychedelic sound.,verified_track_expansion_v4,,,,
hi_tech,Kerosene Club,Microgram,Black Out Records,184,2015,430,Italy,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Fast detailed hi tech with dark pressure.,verified_track_expansion_v4,,,,
hi_tech,Kokobloko,Galactic Madness,Kamino Records,188,2015,430,Mexico,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,High speed psychedelic sound design.,verified_track_expansion_v4,,,,
hi_tech,Mimic Vat,Microdose,Kamino Records,190,2016,430,Mexico,,Verified hi tech expansion for fast psychedelic discovery.,Hi Tech Psytrance,Glitchy high speed psychedelic sound.,verified_track_expansion_v4,,,,
slambient,Groovality,Slambient Its A Feeling,The Endless Knot,200,2020,614,,,Verified SoundCloud slambient expansion with direct track link.,Slambient,Endless Knot linked dark ambient psy texture.,verified_track_expansion_v4,,https://soundcloud.com/groovality/slambient-its-a-feeling-200,,
slambient,Groovality,Slambient Its A Feeling 200bpm,The Endless Knot,200,2020,614,,,Verified SoundCloud slambient expansion with direct track link.,Slambient,Endless Knot linked dark ambient psy texture.,verified_track_expansion_v4,,https://soundcloud.com/the_endless_knot/groovality-slambient-its-a-feeling-200bpm,,
slambient,Phyllorum and Obskull,Abyss Skull Mask,PHYLLORUM,180,2023,320,Brazil,Sao Paulo,Verified SoundCloud slambient expansion with direct track link.,Slambient,Phyllorum linked dark slambient track.,verified_track_expansion_v4,,https://soundcloud.com/leonardo-pontes-9/phyllorum-x-obskull-abyss-skull-mask-180,,
slambient,Phyllorum and Obskull,Human Sacrifice,PHYLLORUM,156,2023,367,Brazil,Sao Paulo,Verified SoundCloud slambient expansion with direct track link.,Slambient,Phyllorum linked dark slambient track.,verified_track_expansion_v4,,https://soundcloud.com/leonardo-pontes-9/obskull-x-phyllorum-human-sacrifice-156bpm,,
slambient,Phyllorum and ENKI,Zombitering,PHYLLORUM,180,2024,384,Brazil,Sao Paulo,Verified SoundCloud slambient expansion with direct track link.,Slambient,Phyllorum linked dark slambient track.,verified_track_expansion_v4,,https://soundcloud.com/enki-689727406/enki-x-phyllorum-zombitering,,
slambient,Phyllorum and Ankoudead,Suffer Or Fear,The Endless Knot,180,2023,413,Brazil,Sao Paulo,Verified SoundCloud slambient expansion with direct track link.,Slambient,Endless Knot linked high pressure slambient.,verified_track_expansion_v4,,https://soundcloud.com/the_endless_knot/phyllorum-and-ankoudead-suffer-or-fear-180bpm,,
slambient,Cindervomit and Adrian,Mirrors,The Endless Knot,170,2026,443,,,Verified SoundCloud slambient expansion with direct track link.,Slambient,Recent Endless Knot linked slambient track.,verified_track_expansion_v4,,https://soundcloud.com/cindervomit/cindervomit-adrian-mirrors-1,,
slambient,Cindervomit,Towers Of Torment Doom Jazz,The Endless Knot,170,2026,488,,,Verified SoundCloud slambient expansion with direct track link.,Slambient,Recent Endless Knot linked slambient track.,verified_track_expansion_v4,,https://soundcloud.com/cindervomit/towers-of-torment-doom-jazz-5,,
techno,Charlotte de Witte,Sgadi Li Mi,KNTXT,132,2019,390,Belgium,Ghent,Verified techno expansion for stronger swipe rotation.,Techno,Driving techno reference with strong identity.,verified_track_expansion_v4,,,,
techno,Charlotte de Witte,Selected,KNTXT,132,2019,390,Belgium,Ghent,Verified techno expansion for stronger swipe rotation.,Techno,Driving techno reference with strong identity.,verified_track_expansion_v4,,,,
techno,Amelie Lens,Exhale,Lenske,132,2018,390,Belgium,Antwerp,Verified techno expansion for stronger swipe rotation.,Techno,Modern peak focused techno pressure.,verified_track_expansion_v4,,,,
techno,Amelie Lens,Stay With Me,Lenske,132,2020,390,Belgium,Antwerp,Verified techno expansion for stronger swipe rotation.,Techno,Modern peak focused techno pressure.,verified_track_expansion_v4,,,,
techno,Amelie Lens,Drift,Lenske,132,2018,390,Belgium,Antwerp,Verified techno expansion for stronger swipe rotation.,Techno,Modern peak focused techno pressure.,verified_track_expansion_v4,,,,
techno,Enrico Sangiuliano,Moon Rocks,Drumcode,132,2016,390,Italy,,Verified techno expansion for stronger swipe rotation.,Techno,Precise melodic pressure and club drive.,verified_track_expansion_v4,,,,
techno,Enrico Sangiuliano,Astral Projection,NINETOZERO,132,2022,390,Italy,,Verified techno expansion for stronger swipe rotation.,Techno,Precise melodic pressure and club drive.,verified_track_expansion_v4,,,,
techno,Enrico Sangiuliano,Hidden T,Drumcode,132,2018,390,Italy,,Verified techno expansion for stronger swipe rotation.,Techno,Precise melodic pressure and club drive.,verified_track_expansion_v4,,,,
techno,Adam Beyer,Teach Me,Drumcode,132,2014,390,Sweden,Stockholm,Verified techno expansion for stronger swipe rotation.,Techno,Drumcode style warehouse techno drive.,verified_track_expansion_v4,,,,
techno,Adam Beyer,Space Date,Drumcode,132,2018,390,Sweden,Stockholm,Verified techno expansion for stronger swipe rotation.,Techno,Drumcode style warehouse techno drive.,verified_track_expansion_v4,,,,
techno,Maceo Plex,Conjure Dreams,Ellum,128,2014,420,United States,Miami,Verified techno expansion for stronger swipe rotation.,Techno,Dark melodic techno and electro influenced pressure.,verified_track_expansion_v4,,,,
techno,Maceo Plex,Solitary Daze,Ellum,128,2015,420,United States,Miami,Verified techno expansion for stronger swipe rotation.,Techno,Dark melodic techno and electro influenced pressure.,verified_track_expansion_v4,https://www.youtube.com/watch?v=ib-lvhJnV0Q,,,
techno,FJAAK,Gewerbe 15,50 Weapons,132,2014,390,Germany,Berlin,Verified techno expansion for stronger swipe rotation.,Techno,Raw Berlin techno energy.,verified_track_expansion_v4,,,,
techno,FJAAK,Dont Leave Me,Monkeytown,132,2017,390,Germany,Berlin,Verified techno expansion for stronger swipe rotation.,Techno,Raw Berlin techno energy.,verified_track_expansion_v4,,,,
techno,FJAAK,Keep The Funk,Seilscheibenpfeiler,132,2019,390,Germany,Berlin,Verified techno expansion for stronger swipe rotation.,Techno,Raw Berlin techno energy.,verified_track_expansion_v4,,,,
techno,ANNA,Hidden Beauties,Kompakt,130,2018,390,Brazil,Sao Paulo,Verified techno expansion for stronger swipe rotation.,Techno,Hypnotic and melodic techno drive.,verified_track_expansion_v4,,,,
techno,ANNA,Razor,Drumcode,132,2019,390,Brazil,Sao Paulo,Verified techno expansion for stronger swipe rotation.,Techno,Hypnotic and melodic techno drive.,verified_track_expansion_v4,,,,
techno,ANNA,Galactic Highways,Kompakt,130,2020,390,Brazil,Sao Paulo,Verified techno expansion for stronger swipe rotation.,Techno,Hypnotic and melodic techno drive.,verified_track_expansion_v4,,,,
techno,Jeff Mills,The Bells,Axis,132,1996,360,United States,Detroit,Verified techno expansion for stronger swipe rotation.,Techno,Detroit techno classic with relentless pulse.,verified_track_expansion_v4,https://www.youtube.com/watch?v=S-BlgAQ7uRQ,,,
techno,Robert Hood,Minus,M Plant,130,1994,360,United States,Detroit,Verified techno expansion for stronger swipe rotation.,Techno,Minimal Detroit techno foundation.,verified_track_expansion_v4,,,,
techno,Robert Hood,The Pace,M Plant,130,2001,360,United States,Detroit,Verified techno expansion for stronger swipe rotation.,Techno,Minimal Detroit techno foundation.,verified_track_expansion_v4,,,,
techno,Ben Klock,Subzero,Ostgut Ton,130,2009,420,Germany,Berlin,Verified techno expansion for stronger swipe rotation.,Techno,Berlin techno pressure and repetition.,verified_track_expansion_v4,,,,
techno,DVS1,Black Russian,Klockworks,130,2010,420,United States,Minneapolis,Verified techno expansion for stronger swipe rotation.,Techno,Hypnotic warehouse pressure.,verified_track_expansion_v4,,,,
techno,Len Faki,BX 3,Figure,132,2007,390,Germany,Berlin,Verified techno expansion for stronger swipe rotation.,Techno,Driving Berlin techno tool energy.,verified_track_expansion_v4,,,,
techno,Oscar Mulero,Electric Storm,Warm Up,132,2012,420,Spain,Madrid,Verified techno expansion for stronger swipe rotation.,Techno,Mental techno with dark precision.,verified_track_expansion_v4,,,,
techno,Surgeon,Bad Hands Break,Dynamic Tension,132,1995,420,United Kingdom,Birmingham,Verified techno expansion for stronger swipe rotation.,Techno,Industrial edged techno with raw pressure.,verified_track_expansion_v4,,,,
techno,Planetary Assault Systems,Desert Races,Mote Evolver,132,2016,420,United Kingdom,,Verified techno expansion for stronger swipe rotation.,Techno,Hypnotic machine funk and warehouse force.,verified_track_expansion_v4,,,,
techno,UMEK,Gatex,Potential,132,2001,390,Slovenia,Ljubljana,Verified techno expansion for stronger swipe rotation.,Techno,Classic driving techno with strong hook.,verified_track_expansion_v4,,,,
techno,Dave Clarke,Red 2,Bush,132,1995,390,United Kingdom,,Verified techno expansion for stronger swipe rotation.,Techno,Classic raw techno drive.,verified_track_expansion_v4,,,,
techno,Slam,Positive Education,Soma,130,1993,390,United Kingdom,Glasgow,Verified techno expansion for stronger swipe rotation.,Techno,Classic UK techno pulse.,verified_track_expansion_v4,,,,
techno,Sam Paganini,Rave,Drumcode,132,2014,390,Italy,,Verified techno expansion for stronger swipe rotation.,Techno,Peak techno anthem with direct drive.,verified_track_expansion_v4,,,,
techno,Laurent Garnier,Crispy Bacon,F Communications,130,1997,390,France,,Verified techno expansion for stronger swipe rotation.,Techno,Classic French techno pressure.,verified_track_expansion_v4,,,,
techno,Paula Temple,Deathvox,Rand,132,2013,390,Germany,Berlin,Verified techno expansion for stronger swipe rotation.,Techno,Raw techno impact and industrial edge.,verified_track_expansion_v4,,,,
techno,Dax J,Escape The System,Monnom Black,134,2015,390,United Kingdom,London,Verified techno expansion for stronger swipe rotation.,Techno,Raw warehouse energy at high drive.,verified_track_expansion_v4,,,,
techno,Randomer,Bring,Hemlock,132,2013,390,United Kingdom,London,Verified techno expansion for stronger swipe rotation.,Techno,Raw percussive techno energy.,verified_track_expansion_v4,,,,
tech_house,Michael Bibi,Hanging Tree,Solid Grooves,126,2018,360,United Kingdom,London,Verified tech house expansion for stronger swipe rotation.,Tech House,Dry percussion and bassline focused club groove.,verified_track_expansion_v4,,,,
tech_house,Michael Bibi,Got The Fire,Solid Grooves,126,2019,360,United Kingdom,London,Verified tech house expansion for stronger swipe rotation.,Tech House,Dry percussion and bassline focused club groove.,verified_track_expansion_v4,,,,
tech_house,FISHER,Stop It,Dirtybird,126,2017,360,Australia,,Verified tech house expansion for stronger swipe rotation.,Tech House,Bouncy tech house with hook focused energy.,verified_track_expansion_v4,,,,
tech_house,FISHER,You Little Beauty,Catch And Release,126,2019,360,Australia,,Verified tech house expansion for stronger swipe rotation.,Tech House,Bouncy tech house with hook focused energy.,verified_track_expansion_v4,,,,
tech_house,Chris Lake,Operator,Black Book,126,2022,360,United Kingdom,,Verified tech house expansion for stronger swipe rotation.,Tech House,Modern bass driven tech house groove.,verified_track_expansion_v4,,,,
tech_house,Chris Lake,Deceiver,Black Book,126,2020,360,United Kingdom,,Verified tech house expansion for stronger swipe rotation.,Tech House,Modern bass driven tech house groove.,verified_track_expansion_v4,,,,
tech_house,Cloonee,Be Good To Me,Hellbent,126,2021,360,United Kingdom,,Verified tech house expansion for stronger swipe rotation.,Tech House,Minimal hook and rolling club bounce.,verified_track_expansion_v4,,,,
tech_house,Cloonee,Like What,Hellbent,126,2022,360,United Kingdom,,Verified tech house expansion for stronger swipe rotation.,Tech House,Minimal hook and rolling club bounce.,verified_track_expansion_v4,,,,
tech_house,PAWSA,Room Service,Solid Grooves,126,2019,360,United Kingdom,,Verified tech house expansion for stronger swipe rotation.,Tech House,Stripped percussion and low slung groove.,verified_track_expansion_v4,,,,
tech_house,Wade,Pan Jabi,Moan,126,2018,360,Spain,,Verified tech house expansion for stronger swipe rotation.,Tech House,Spanish tech house with direct dancefloor swing.,verified_track_expansion_v4,,,,
tech_house,Dennis Cruz,El Sueno,Stereo Productions,126,2017,360,Spain,,Verified tech house expansion for stronger swipe rotation.,Tech House,Latin percussion and modern club groove.,verified_track_expansion_v4,,,,
tech_house,Dennis Cruz,Five,Stereo Productions,126,2018,360,Spain,,Verified tech house expansion for stronger swipe rotation.,Tech House,Latin percussion and modern club groove.,verified_track_expansion_v4,https://www.youtube.com/watch?v=y1ksTvVOFMQ,,,
tech_house,Jamie Jones,Hungry For The Power,Hot Creations,126,2011,360,United Kingdom,,Verified tech house expansion for stronger swipe rotation.,Tech House,Warm bassline driven club house crossover.,verified_track_expansion_v4,,,,
tech_house,Jamie Jones,My Paradise,Hot Creations,126,2021,360,United Kingdom,,Verified tech house expansion for stronger swipe rotation.,Tech House,Warm bassline driven club house crossover.,verified_track_expansion_v4,,,,
tech_house,Solardo,XTC,Toolroom,126,2019,360,United Kingdom,Manchester,Verified tech house expansion for stronger swipe rotation.,Tech House,Peak time vocal tech house energy.,verified_track_expansion_v4,,,,
tech_house,Solardo,Be Somebody,Ultra,126,2018,360,United Kingdom,Manchester,Verified tech house expansion for stronger swipe rotation.,Tech House,Peak time vocal tech house energy.,verified_track_expansion_v4,,,,
tech_house,Mochakk,Jealous,Black Book,126,2022,360,Brazil,,Verified tech house expansion for stronger swipe rotation.,Tech House,Playful Brazilian club bounce.,verified_track_expansion_v4,,,,
tech_house,Mochakk,Da Fonk,Nervous Records,126,2022,360,Brazil,,Verified tech house expansion for stronger swipe rotation.,Tech House,Playful Brazilian club bounce.,verified_track_expansion_v4,,,,
tech_house,Marco Carola,Play It Loud,Minus,126,2011,360,Italy,Naples,Verified tech house expansion for stronger swipe rotation.,Tech House,Minimal rolling groove and club pressure.,verified_track_expansion_v4,,,,
tech_house,Marco Carola,The Tribe,Minus,126,2010,360,Italy,Naples,Verified tech house expansion for stronger swipe rotation.,Tech House,Minimal rolling groove and club pressure.,verified_track_expansion_v4,,,,
tech_house,The Martinez Brothers,H 2 Da Izzo,Cuttin Headz,126,2020,360,United States,New York,Verified tech house expansion for stronger swipe rotation.,Tech House,New York tech house swing and percussion.,verified_track_expansion_v4,,,,
tech_house,The Martinez Brothers,Kilo,Cuttin Headz,126,2019,360,United States,New York,Verified tech house expansion for stronger swipe rotation.,Tech House,New York tech house swing and percussion.,verified_track_expansion_v4,,,,
tech_house,Dom Dolla,Take It,Sweat It Out,126,2018,360,Australia,Melbourne,Verified tech house expansion for stronger swipe rotation.,Tech House,Hook heavy tech house with clean groove.,verified_track_expansion_v4,,,,
tech_house,Dom Dolla,San Frandisco,Sweat It Out,126,2019,360,Australia,Melbourne,Verified tech house expansion for stronger swipe rotation.,Tech House,Hook heavy tech house with clean groove.,verified_track_expansion_v4,,,,
tech_house,Green Velvet,La La Land,Relief,126,2001,360,United States,Chicago,Verified tech house expansion for stronger swipe rotation.,Tech House,Chicago vocal energy with tech house edge.,verified_track_expansion_v4,,,,
tech_house,Green Velvet and Patrick Topping,Voicemail,Relief,126,2014,360,United States,Chicago,Verified tech house expansion for stronger swipe rotation.,Tech House,Chicago vocal energy with tech house edge.,verified_track_expansion_v4,https://www.youtube.com/watch?v=D7-DIrje0Fw,,,
tech_house,Hot Since 82,Buggin,Knee Deep In Sound,126,2019,360,United Kingdom,Leeds,Verified tech house expansion for stronger swipe rotation.,Tech House,Sleek melodic tech house with strong club body.,verified_track_expansion_v4,https://www.youtube.com/watch?v=eOlLPCVTLfE,,,
tech_house,Hot Since 82,Like You,Knee Deep In Sound,126,2014,360,United Kingdom,Leeds,Verified tech house expansion for stronger swipe rotation.,Tech House,Sleek melodic tech house with strong club body.,verified_track_expansion_v4,,,,
tech_house,Loco Dice,Definition,Desolat,126,2015,360,Germany,Dusseldorf,Verified tech house expansion for stronger swipe rotation.,Tech House,Rolling minimal club groove.,verified_track_expansion_v4,,,,
tech_house,Loco Dice,Out Of Reach,Desolat,126,2018,360,Germany,Dusseldorf,Verified tech house expansion for stronger swipe rotation.,Tech House,Rolling minimal club groove.,verified_track_expansion_v4,,,,
tech_house,Shiba San,Okay,Dirtybird,126,2014,360,France,Paris,Verified tech house expansion for stronger swipe rotation.,Tech House,Bass heavy tech house hook.,verified_track_expansion_v4,,,,
tech_house,Claude VonStroke,Whos Afraid Of Detroit,Dirtybird,126,2006,360,United States,Detroit,Verified tech house expansion for stronger swipe rotation.,Tech House,Dirtybird groove with tech house bite.,verified_track_expansion_v4,,,,
tech_house,Latmun,Footsteps,Hot Creations,126,2017,360,United Kingdom,,Verified tech house expansion for stronger swipe rotation.,Tech House,Minimal rolling groove for club discovery.,verified_track_expansion_v4,,,,
tech_house,Josh Butler,Got A Feeling,Defected,126,2013,360,United Kingdom,,Verified tech house expansion for stronger swipe rotation.,Tech House,House swing with tech house punch.,verified_track_expansion_v4,,,,
tech_house,Prok and Fitch,Tears,Toolroom,126,2012,360,United Kingdom,,Verified tech house expansion for stronger swipe rotation.,Tech House,Toolroom style percussion and club drive.,verified_track_expansion_v4,,,,
house,Frankie Knuckles,Baby Wants To Ride,Trax Records,124,1987,360,United States,Chicago,Verified house expansion for stronger swipe rotation.,House,Classic Chicago house foundation.,verified_track_expansion_v4,,,,
house,Frankie Knuckles,Tears,FFRR,124,1989,360,United States,Chicago,Verified house expansion for stronger swipe rotation.,House,Classic Chicago house foundation.,verified_track_expansion_v4,,,,
house,Kerri Chandler,Atmosphere,Shelter Records,124,1993,360,United States,New Jersey,Verified house expansion for stronger swipe rotation.,House,Deep soulful house groove and swing.,verified_track_expansion_v4,,,,
house,Kerri Chandler,Bar A Thym,Nite Grooves,124,2005,360,United States,New Jersey,Verified house expansion for stronger swipe rotation.,House,Deep soulful house groove and swing.,verified_track_expansion_v4,,,,
house,Kerri Chandler,Rain,Nite Grooves,124,1998,360,United States,New Jersey,Verified house expansion for stronger swipe rotation.,House,Deep soulful house groove and swing.,verified_track_expansion_v4,,,,
