artist,style,canonical_subgenres,confidence,status,country,city,stage,booking,official_names,evidence_tags,source_note,source_urls,social_discovery_links
AEREA,hard_trance,neo-rave / hard trance / eurodance trance,medium_low,needs_review,,,GROOVE BEACH,AEREA(Live),AEREA,,official_hive_stage_context; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=AEREA&type=artist&method=indexed;https://www.beatport.com/search?q=AEREA;https://www.discogs.com/search/?q=AEREA&type=all;https://soundcloud.com/search?q=AEREA;https://www.youtube.com/results?search_query=AEREA
AFEM SYKO,hard_techno,hard techno,high,published,,,SLEEPLESS,AFEM SYKO,AFEM SYKO,acid techno; hard techno,"musicbrainz_artist_tags; stages: SLEEPLESS. MusicBrainz tags/disambiguation matched: acid techno, hard techno. Official HIVE Sleepless stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/2a8df2e3-03ca-4df2-9e62-f7bbb43f5186,https://musicbrainz.org/search?query=AFEM%20SYKO&type=artist&method=indexed;https://www.beatport.com/search?q=AFEM%20SYKO;https://www.discogs.com/search/?q=AFEM%20SYKO&type=all;https://soundcloud.com/search?q=AFEM%20SYKO;https://www.youtube.com/results?search_query=AFEM%20SYKO
Aiden,hard_techno,hard techno / schranz,medium_high,published,,,TECHNO CASTLE,AIDEN B2B ORNELLA,AIDEN,,curated_known_artist_or_scene_source; stages: TECHNO CASTLE. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Aiden&type=artist&method=indexed;https://www.beatport.com/search?q=Aiden;https://www.discogs.com/search/?q=Aiden&type=all;https://soundcloud.com/search?q=Aiden;https://www.youtube.com/results?search_query=Aiden
AISHA,techno,queer techno / club rave / hard groove,low,needs_review,,,LIBIDOH LAB,AISHA,AISHA,,official_hive_stage_context; stages: LIBIDOH LAB. Official HIVE Libidoh Lab stage context only.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=AISHA&type=artist&method=indexed;https://www.beatport.com/search?q=AISHA;https://www.discogs.com/search/?q=AISHA&type=all;https://soundcloud.com/search?q=AISHA;https://www.youtube.com/results?search_query=AISHA
AKA NINA,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,AKA NINA B2B BREGER,AKA NINA,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=AKA%20NINA&type=artist&method=indexed;https://www.beatport.com/search?q=AKA%20NINA;https://www.discogs.com/search/?q=AKA%20NINA&type=all;https://soundcloud.com/search?q=AKA%20NINA;https://www.youtube.com/results?search_query=AKA%20NINA
AL ASLAN,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,AL ASLAN,AL ASLAN,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=AL%20ASLAN&type=artist&method=indexed;https://www.beatport.com/search?q=AL%20ASLAN;https://www.discogs.com/search/?q=AL%20ASLAN&type=all;https://soundcloud.com/search?q=AL%20ASLAN;https://www.youtube.com/results?search_query=AL%20ASLAN
Alarico,hardgroove_techno,hardgroove techno / techno,high,published,International,,JUNKYARD,ALARICO,ALARICO,techno,curated_known_artist_or_scene_source; stages: JUNKYARD. MusicBrainz tags/disambiguation matched: techno. Official HIVE Junkyard stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/19f27e4e-3f3b-4722-96c9-53c6f29d31a2;https://www.discogs.com/search/?q=hardgroove%20techno&type=all,https://musicbrainz.org/search?query=Alarico&type=artist&method=indexed;https://www.beatport.com/search?q=Alarico;https://www.discogs.com/search/?q=Alarico&type=all;https://soundcloud.com/search?q=Alarico;https://www.youtube.com/results?search_query=Alarico
Alba Franch,hard_trance,hard trance / eurodance rave,medium_high,published,,,GROOVE BEACH,ALBA FRANCH B2B ELOTRANCE,ALBA FRANCH,,curated_known_artist_or_scene_source; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Alba%20Franch&type=artist&method=indexed;https://www.beatport.com/search?q=Alba%20Franch;https://www.discogs.com/search/?q=Alba%20Franch&type=all;https://soundcloud.com/search?q=Alba%20Franch;https://www.youtube.com/results?search_query=Alba%20Franch
Alignment,hard_techno,hard techno / industrial techno / trance-influenced techno,high,published,International,,TECHNO CASTLE,ALIGNMENT,ALIGNMENT,,curated_known_artist_or_scene_source; stages: TECHNO CASTLE. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Alignment&type=artist&method=indexed;https://www.beatport.com/search?q=Alignment;https://www.discogs.com/search/?q=Alignment&type=all;https://soundcloud.com/search?q=Alignment;https://www.youtube.com/results?search_query=Alignment
ALINA VORKO,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,ALINA VORKO,ALINA VORKO,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ALINA%20VORKO&type=artist&method=indexed;https://www.beatport.com/search?q=ALINA%20VORKO;https://www.discogs.com/search/?q=ALINA%20VORKO&type=all;https://soundcloud.com/search?q=ALINA%20VORKO;https://www.youtube.com/results?search_query=ALINA%20VORKO
ALLSTARS,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,ALLSTARS B2B2B2B2B,ALLSTARS,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ALLSTARS&type=artist&method=indexed;https://www.beatport.com/search?q=ALLSTARS;https://www.discogs.com/search/?q=ALLSTARS&type=all;https://soundcloud.com/search?q=ALLSTARS;https://www.youtube.com/results?search_query=ALLSTARS
ALLY,hardcore,hard dance / hardcore / rawstyle,medium,published,,,RAGE CAGE,ALLY,ALLY,,official_hive_stage_context; stages: RAGE CAGE. Official HIVE Rage Cage stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ALLY&type=artist&method=indexed;https://www.beatport.com/search?q=ALLY;https://www.discogs.com/search/?q=ALLY&type=all;https://soundcloud.com/search?q=ALLY;https://www.youtube.com/results?search_query=ALLY
ALYOSHA,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,ALYOSHA,ALYOSHA,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ALYOSHA&type=artist&method=indexed;https://www.beatport.com/search?q=ALYOSHA;https://www.discogs.com/search/?q=ALYOSHA&type=all;https://soundcloud.com/search?q=ALYOSHA;https://www.youtube.com/results?search_query=ALYOSHA
Amber Broos,techno,techno / acid techno / Belgian club rave,medium_high,published,BE,Leuven,SLEEPLESS,AMBER BROOS,AMBER BROOS,techno,curated_known_artist_or_scene_source; stages: SLEEPLESS. MusicBrainz tags/disambiguation matched: techno. Official HIVE Sleepless stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/5da62a45-db57-4184-81ab-fcf835d5bce8,https://musicbrainz.org/search?query=Amber%20Broos&type=artist&method=indexed;https://www.beatport.com/search?q=Amber%20Broos;https://www.discogs.com/search/?q=Amber%20Broos&type=all;https://soundcloud.com/search?q=Amber%20Broos;https://www.youtube.com/results?search_query=Amber%20Broos
AMO,techno,queer techno / club rave / hard groove,low,needs_review,,,LIBIDOH LAB,AMO,AMO,,official_hive_stage_context; stages: LIBIDOH LAB. Official HIVE Libidoh Lab stage context only.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=AMO&type=artist&method=indexed;https://www.beatport.com/search?q=AMO;https://www.discogs.com/search/?q=AMO&type=all;https://soundcloud.com/search?q=AMO;https://www.youtube.com/results?search_query=AMO
ANAÏS-LIN,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,ANAÏS-LIN B2B GOLANSKI,ANAÏS-LIN,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ANA%C3%8FS-LIN&type=artist&method=indexed;https://www.beatport.com/search?q=ANA%C3%8FS-LIN;https://www.discogs.com/search/?q=ANA%C3%8FS-LIN&type=all;https://soundcloud.com/search?q=ANA%C3%8FS-LIN;https://www.youtube.com/results?search_query=ANA%C3%8FS-LIN
AnD,industrial_techno,industrial techno / hard techno,high,published,International,,RAGE CAGE,AND,AnD,,curated_known_artist_or_scene_source; stages: RAGE CAGE. Official HIVE Rage Cage stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=AnD&type=artist&method=indexed;https://www.beatport.com/search?q=AnD;https://www.discogs.com/search/?q=AnD&type=all;https://soundcloud.com/search?q=AnD;https://www.youtube.com/results?search_query=AnD
Angerfist,gabber,gabber / hardcore techno,high,published,International,Almere,TECHNO CASTLE,ANGERFIST B2B VIEZE ASBAK,ANGERFIST,gabber; hardcore; hardcore techno,"curated_known_artist_or_scene_source; stages: TECHNO CASTLE. MusicBrainz tags/disambiguation matched: gabber, hardcore, hardcore techno. Official HIVE Techno Castle stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/91d8e441-73a6-48a6-aed1-2bef4da87799,https://musicbrainz.org/search?query=Angerfist&type=artist&method=indexed;https://www.beatport.com/search?q=Angerfist;https://www.discogs.com/search/?q=Angerfist&type=all;https://soundcloud.com/search?q=Angerfist;https://www.youtube.com/results?search_query=Angerfist
Animato,progressive_psy,progressive psytrance / psytrance,high,published,International,,PSY LAGOON,ANIMATO,ANIMATO,psytrance,curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: psytrance. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/55e6ca59-296b-49d5-9153-92a8636c239a;https://ibogarecords.bandcamp.com/music,https://musicbrainz.org/search?query=Animato&type=artist&method=indexed;https://www.beatport.com/search?q=Animato;https://www.discogs.com/search/?q=Animato&type=all;https://soundcloud.com/search?q=Animato;https://www.youtube.com/results?search_query=Animato
AniMe,hardcore,hardcore / gabber,high,published,International,Piacenza,RAGE CAGE,ANIME,AniMe,hardcore,curated_known_artist_or_scene_source; stages: RAGE CAGE. MusicBrainz tags/disambiguation matched: hardcore. Official HIVE Rage Cage stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/135c3615-e3be-43c5-b128-96471db351b3,https://musicbrainz.org/search?query=AniMe&type=artist&method=indexed;https://www.beatport.com/search?q=AniMe;https://www.discogs.com/search/?q=AniMe&type=all;https://soundcloud.com/search?q=AniMe;https://www.youtube.com/results?search_query=AniMe
ANTONYM,industrial_techno,industrial techno / hard techno,high,published,GB,,BOUNCE TEMPLE,HUMAN ERROR B2B ANTONYM,ANTONYM,industrial techno,musicbrainz_artist_tags; stages: BOUNCE TEMPLE. MusicBrainz tags/disambiguation matched: industrial techno. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/;https://musicbrainz.org/artist/2a8539d7-11c6-4031-98ce-dc896f7ff218,https://musicbrainz.org/search?query=ANTONYM&type=artist&method=indexed;https://www.beatport.com/search?q=ANTONYM;https://www.discogs.com/search/?q=ANTONYM&type=all;https://soundcloud.com/search?q=ANTONYM;https://www.youtube.com/results?search_query=ANTONYM
ANUUK,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,ANUUK & DONCHOPPA (LIVE),ANUUK,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ANUUK&type=artist&method=indexed;https://www.beatport.com/search?q=ANUUK;https://www.discogs.com/search/?q=ANUUK&type=all;https://soundcloud.com/search?q=ANUUK;https://www.youtube.com/results?search_query=ANUUK
AREA ØNE,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,AREA ØNE,AREA ØNE,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=AREA%20%C3%98NE&type=artist&method=indexed;https://www.beatport.com/search?q=AREA%20%C3%98NE;https://www.discogs.com/search/?q=AREA%20%C3%98NE&type=all;https://soundcloud.com/search?q=AREA%20%C3%98NE;https://www.youtube.com/results?search_query=AREA%20%C3%98NE
ARMAN JOHN,hard_trance,bounce / hard trance / eurodance rave,medium_low,needs_review,,,BOUNCE TEMPLE,ARMAN JOHN B2B KLING&KLANG,ARMAN JOHN,,official_hive_stage_context; stages: BOUNCE TEMPLE. Official HIVE Bounce Temple stage context; app has no dedicated bounce style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ARMAN%20JOHN&type=artist&method=indexed;https://www.beatport.com/search?q=ARMAN%20JOHN;https://www.discogs.com/search/?q=ARMAN%20JOHN&type=all;https://soundcloud.com/search?q=ARMAN%20JOHN;https://www.youtube.com/results?search_query=ARMAN%20JOHN
ASH ROY,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,ASH ROY,ASH ROY,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=ASH%20ROY&type=artist&method=indexed;https://www.beatport.com/search?q=ASH%20ROY;https://www.discogs.com/search/?q=ASH%20ROY&type=all;https://soundcloud.com/search?q=ASH%20ROY;https://www.youtube.com/results?search_query=ASH%20ROY
Avalon,full_on,full-on psytrance / psytrance,high,published,International,,PSY LAGOON,AVALON,AVALON,,curated_known_artist_or_scene_source; stages: PSY LAGOON. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Avalon&type=artist&method=indexed;https://www.beatport.com/search?q=Avalon;https://www.discogs.com/search/?q=Avalon&type=all;https://soundcloud.com/search?q=Avalon;https://www.youtube.com/results?search_query=Avalon
Azyr,hard_techno,hard techno / hard trance,high,published,International,,TECHNO CASTLE,AZYR,AZYR,,curated_known_artist_or_scene_source; stages: TECHNO CASTLE. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Azyr&type=artist&method=indexed;https://www.beatport.com/search?q=Azyr;https://www.discogs.com/search/?q=Azyr&type=all;https://soundcloud.com/search?q=Azyr;https://www.youtube.com/results?search_query=Azyr
AZZLE 447,hard_techno,hard techno / industrial techno / schranz,medium,published,,,TECHNO CASTLE,AZZLE 447 B2B UEBERREST,AZZLE 447,,official_hive_stage_context; stages: TECHNO CASTLE. Official HIVE Techno Castle stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=AZZLE%20447&type=artist&method=indexed;https://www.beatport.com/search?q=AZZLE%20447;https://www.discogs.com/search/?q=AZZLE%20447&type=all;https://soundcloud.com/search?q=AZZLE%20447;https://www.youtube.com/results?search_query=AZZLE%20447
BABXI,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,BABXI B2B TUETE,BABXI,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=BABXI&type=artist&method=indexed;https://www.beatport.com/search?q=BABXI;https://www.discogs.com/search/?q=BABXI&type=all;https://soundcloud.com/search?q=BABXI;https://www.youtube.com/results?search_query=BABXI
Bad Boombox,hard_trance,hard trance / eurodance / rave,medium_high,published,,,GROOVE BEACH,BAD BOOMBOX,BAD BOOMBOX,,curated_known_artist_or_scene_source; stages: GROOVE BEACH. Official HIVE Groove Beach stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Bad%20Boombox&type=artist&method=indexed;https://www.beatport.com/search?q=Bad%20Boombox;https://www.discogs.com/search/?q=Bad%20Boombox&type=all;https://soundcloud.com/search?q=Bad%20Boombox;https://www.youtube.com/results?search_query=Bad%20Boombox
BASS-T73,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,BASS-T73,BASS-T73,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=BASS-T73&type=artist&method=indexed;https://www.beatport.com/search?q=BASS-T73;https://www.discogs.com/search/?q=BASS-T73&type=all;https://soundcloud.com/search?q=BASS-T73;https://www.youtube.com/results?search_query=BASS-T73
BECKSHAM,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,BECKSHAM,BECKSHAM,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=BECKSHAM&type=artist&method=indexed;https://www.beatport.com/search?q=BECKSHAM;https://www.discogs.com/search/?q=BECKSHAM&type=all;https://soundcloud.com/search?q=BECKSHAM;https://www.youtube.com/results?search_query=BECKSHAM
Ben Klock,techno,Berlin techno / techno,high,published,Germany,Berlin,JUNKYARD,BEN KLOCK,BEN KLOCK,techno,curated_known_artist_or_scene_source; stages: JUNKYARD. MusicBrainz tags/disambiguation matched: techno. Official HIVE Junkyard stage context.,https://www.hive-festival.de/;https://musicbrainz.org/artist/c5af0c3f-e401-43ed-a096-b504606a05cb,https://musicbrainz.org/search?query=Ben%20Klock&type=artist&method=indexed;https://www.beatport.com/search?q=Ben%20Klock;https://www.discogs.com/search/?q=Ben%20Klock&type=all;https://soundcloud.com/search?q=Ben%20Klock;https://www.youtube.com/results?search_query=Ben%20Klock
BEN TECHY,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,BEN TECHY B2B LUCIID,BEN TECHY,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=BEN%20TECHY&type=artist&method=indexed;https://www.beatport.com/search?q=BEN%20TECHY;https://www.discogs.com/search/?q=BEN%20TECHY&type=all;https://soundcloud.com/search?q=BEN%20TECHY;https://www.youtube.com/results?search_query=BEN%20TECHY
Blastoyz,psy_comercial,festival psytrance / full-on / progressive psytrance,high,published,Israel,,PSY LAGOON,BLASTOYZ,BLASTOYZ,psytrance; trance,"curated_known_artist_or_scene_source; stages: PSY LAGOON. MusicBrainz tags/disambiguation matched: psytrance, trance. Official HIVE Psy Lagoon stage context.",https://www.hive-festival.de/;https://musicbrainz.org/artist/cf1d0ddf-9794-4c7b-9758-a43b261f5a97,https://musicbrainz.org/search?query=Blastoyz&type=artist&method=indexed;https://www.beatport.com/search?q=Blastoyz;https://www.discogs.com/search/?q=Blastoyz&type=all;https://soundcloud.com/search?q=Blastoyz;https://www.youtube.com/results?search_query=Blastoyz
Bliss,full_on,full-on psytrance / psytrance,high,published,International,,PSY LAGOON,BLISS,BLISS,,curated_known_artist_or_scene_source; stages: PSY LAGOON. Official HIVE Psy Lagoon stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Bliss&type=artist&method=indexed;https://www.beatport.com/search?q=Bliss;https://www.discogs.com/search/?q=Bliss&type=all;https://soundcloud.com/search?q=Bliss;https://www.youtube.com/results?search_query=Bliss
BOLLMANN,hard_techno,hard techno / acid techno / hard trance,medium,published,,,SLEEPLESS,BOLLMANN,BOLLMANN,,official_hive_stage_context; stages: SLEEPLESS. Official HIVE Sleepless stage context.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=BOLLMANN&type=artist&method=indexed;https://www.beatport.com/search?q=BOLLMANN;https://www.discogs.com/search/?q=BOLLMANN&type=all;https://soundcloud.com/search?q=BOLLMANN;https://www.youtube.com/results?search_query=BOLLMANN
BOOGIE DAN,disco_house,disco house / house / electro,medium_low,needs_review,,,DISCO FOREST,BOOGIE DAN,BOOGIE DAN,,official_hive_stage_context; stages: DISCO FOREST. Official HIVE Disco Forest stage context; individual artist check recommended.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=BOOGIE%20DAN&type=artist&method=indexed;https://www.beatport.com/search?q=BOOGIE%20DAN;https://www.discogs.com/search/?q=BOOGIE%20DAN&type=all;https://soundcloud.com/search?q=BOOGIE%20DAN;https://www.youtube.com/results?search_query=BOOGIE%20DAN
BRATANOVA,acid_techno,free tekno / acidcore / psytek / tribe,medium_low,needs_review,,,PIRATE BAY,BRATANOVA,BRATANOVA,,official_hive_stage_context; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=BRATANOVA&type=artist&method=indexed;https://www.beatport.com/search?q=BRATANOVA;https://www.discogs.com/search/?q=BRATANOVA&type=all;https://soundcloud.com/search?q=BRATANOVA;https://www.youtube.com/results?search_query=BRATANOVA
Breger,dark_progressive,dark progressive psytrance / psytech,medium_high,published,Germany,,PIRATE BAY,AKA NINA B2B BREGER,BREGER,,curated_known_artist_or_scene_source; stages: PIRATE BAY. Official HIVE Pirate Bay stage context; app has no dedicated free-tekno style.,https://www.hive-festival.de/,https://musicbrainz.org/search?query=Breger&type=artist&method=indexed;https://www.beatport.com/search?q=Breger;https://www.discogs.com/search/?q=Breger&type=all;https://soundcloud.com/search?q=Breger;https://www.youtube.com/results?search_query=Breger
