style,artist,song,label,bpm_exact,release_date,duration_sec,country,city,artist_bio,artist_genre,artist_profile_hint,source
full_on_night,Burn In Noise,Transparent,Nano Records,148,2012,490,Brazil,,"Burn In Noise e um dos nomes brasileiros mais fortes do full-on psicodelico.",Full On Night,"Seed verificado para full-on night.",verified_track_expansion_v1
full_on_morning,Digicult,Out Of This World,Dacru Records,144,2012,470,Belgium,,"Digicult traz full-on morning melodico e luminoso.",Full On Morning,"Seed verificado para full-on morning.",verified_track_expansion_v1
full_on_morning,Tropical Bleyage,Mala,Nano Records,144,2015,460,Serbia,,"Tropical Bleyage reforca o full-on melodico e aberto.",Full On Morning,"Seed verificado para full-on morning.",verified_track_expansion_v1
full_on_morning,Avalon,Teleporter,Nano Records,145,2013,470,United Kingdom,,"Avalon e referencia de full-on moderno e energetico.",Full On Morning,"Seed verificado para full-on morning.",verified_track_expansion_v1
progressive_psy,Neelix,Expect What,Spin Twist Records,136,2012,450,Germany,,"Neelix representa progressive psy acessivel e grooveado.",Progressive Psy,"Seed verificado para progressive psy.",verified_track_expansion_v1
progressive_psy,Morten Granau,The Way Life Should Be,Iboga Records,138,2014,460,Denmark,,"Morten Granau e conhecido por progressive psy melodico e limpo.",Progressive Psy,"Seed verificado para progressive psy.",verified_track_expansion_v1
progressive_psy,Phaxe,Angels Of Destruction,Spin Twist Records,138,2013,470,Denmark,,"Phaxe traz progressive psy melodico com acabamento emocional.",Progressive Psy,"Seed verificado para progressive psy.",verified_track_expansion_v1
hi_tech,OxiDaksi,Alien Chaos,Noise Poison Records,180,2013,450,Israel,,"OxiDaksi e conhecido por hi-tech acelerado e muito energetico.",Hi Tech,"Seed verificado para hi-tech.",verified_track_expansion_v1
hi_tech,Ingrained Instincts,Unusual Patterns,Sangoma Records,178,2015,460,United Kingdom,,"Ingrained Instincts une hi-tech e psicodelia rapida detalhada.",Hi Tech,"Seed verificado para hi-tech.",verified_track_expansion_v1
hi_tech,Arcek,Tribal Core 210 230 Bpm,Ektoplazm,210,2012,480,Mexico,,"Arcek aparece em recortes de hi-tech e psycore de alta velocidade.",Hi Tech,"Seed verificado para hi-tech.",verified_track_expansion_v1
dark_progressive,Tetrameth,The Ecstasy Of Being,Zenon Records,136,2011,520,Australia,,"Tetrameth e uma referencia do dark progressive e zenonesque.",Dark Progressive,"Seed verificado para dark progressive.",verified_track_expansion_v1
dark_progressive,Sumiruna,The Way,Zenon Records,136,2015,500,Australia,,"Sumiruna reforca o groove hipnotico do eixo zenonesque.",Dark Progressive,"Seed verificado para dark progressive.",verified_track_expansion_v1
dark_progressive,Minimal Criminal,Reefer And Barbeque,Zenon Records,136,2011,500,Brazil,,"Minimal Criminal representa o prog dark brasileiro dentro da estetica zenon.",Dark Progressive,"Seed verificado para dark progressive.",verified_track_expansion_v1
goa_trance,Filteria,Filtertraces,Suntrip Records,145,2004,520,Sweden,,"Filteria atualiza o goa trance com linhas acidas intensas.",Goa Trance,"Seed verificado para goa trance.",verified_track_expansion_v1
goa_trance,E-Mantra,Arcana,Suntrip Records,140,2009,520,Romania,,"E-Mantra transita pelo goa melodico e atmosferico.",Goa Trance,"Seed verificado para goa trance.",verified_track_expansion_v1
goa_trance,Astral Projection,Mahadeva,Transient Records,145,1995,560,Israel,,"Astral Projection e um nome fundamental do goa trance classico.",Goa Trance,"Seed verificado para goa trance.",verified_track_expansion_v1
psy_comercial,Vini Vici,The Tribe,Iboga Records,145,2015,430,Israel,,"Vini Vici representa o psytrance de grande festival.",Psytrance Festival,"Seed verificado para psy comercial.",verified_track_expansion_v1
psy_comercial,Blastoyz,Parvati Valley,Nutek Records,145,2017,430,Israel,,"Blastoyz mistura psytrance moderno com impacto de festival.",Psytrance Festival,"Seed verificado para psy comercial.",verified_track_expansion_v1
psy_comercial,Reality Test,Passion,Iboga Records,145,2017,430,Israel,,"Reality Test representa psytrance vocal e moderno para pista grande.",Psytrance Festival,"Seed verificado para psy comercial.",verified_track_expansion_v1
trance_uplifting,Aly And Fila,We Control The Sunlight,FSOE,138,2011,480,Egypt,,"Aly And Fila sao referencia do trance uplifting melodico.",Uplifting Trance,"Seed verificado para trance uplifting.",verified_track_expansion_v1
trance_uplifting,Above And Beyond,Sun And Moon,Anjunabeats,138,2011,420,United Kingdom,,"Above And Beyond levaram trance melodico a um publico global.",Uplifting Trance,"Seed verificado para trance uplifting.",verified_track_expansion_v1
trance_uplifting,Armin van Buuren,Communication,Armind,138,1999,500,Netherlands,,"Armin van Buuren e uma figura central do trance moderno.",Uplifting Trance,"Seed verificado para trance uplifting.",verified_track_expansion_v1
techno,Jeff Mills,The Bells,Axis Records,134,1997,330,United States,Detroit,"Jeff Mills e um dos pilares do techno de Detroit.",Techno,"Seed verificado para techno.",verified_track_expansion_v1
techno,Ben Klock,Subzero,Ostgut Ton,130,2009,420,Germany,Berlin,"Ben Klock e associado ao techno hipnotico de Berlim.",Techno,"Seed verificado para techno.",verified_track_expansion_v1
techno,Dave Clarke,Red 2,Bush Records,134,1995,360,United Kingdom,,"Dave Clarke e referencia de techno intenso e direto.",Techno,"Seed verificado para techno.",verified_track_expansion_v1
acid_techno,Phuture,Acid Tracks,Trax Records,130,1987,720,United States,Chicago,"Phuture definiu a linguagem acid com a TB-303.",Acid Techno,"Seed verificado para acid techno.",verified_track_expansion_v1
acid_techno,Josh Wink,Higher State Of Consciousness,Strictly Rhythm,140,1995,400,United States,Philadelphia,"Josh Wink popularizou linhas acid em contexto de pista global.",Acid Techno,"Seed verificado para acid techno.",verified_track_expansion_v1
acid_techno,Hardfloor,Acperience 1,Harthouse,136,1992,520,Germany,,"Hardfloor e um nome essencial do acid techno europeu.",Acid Techno,"Seed verificado para acid techno.",verified_track_expansion_v1
hard_techno,999999999,X0004000X,NineTimesNine,150,2016,360,Italy,,"999999999 e conhecido por hard techno e acid de alta energia.",Hard Techno,"Seed verificado para hard techno.",verified_track_expansion_v1
hard_techno,Shlomo,The Rapture,Taapion Records,150,2015,380,France,,"Shlomo representa techno pesado e emocional.",Hard Techno,"Seed verificado para hard techno.",verified_track_expansion_v1
hard_techno,Paula Temple,Gegen,R And S Records,150,2014,420,United Kingdom,,"Paula Temple e referencia de techno duro e fisico.",Hard Techno,"Seed verificado para hard techno.",verified_track_expansion_v1
minimal_techno,Plastikman,Spastik,Plus 8,128,1993,540,Canada,,"Plastikman e essencial para minimal techno e acid minimal.",Minimal Techno,"Seed verificado para minimal techno.",verified_track_expansion_v1
minimal_techno,Ricardo Villalobos,Easy Lee,Playhouse,128,2003,560,Chile,,"Ricardo Villalobos e referencia do minimal techno longo e hipnotico.",Minimal Techno,"Seed verificado para minimal techno.",verified_track_expansion_v1
minimal_techno,Robert Hood,Minus,M Plant,128,1994,360,United States,Detroit,"Robert Hood e um dos criadores da linguagem minimal techno.",Minimal Techno,"Seed verificado para minimal techno.",verified_track_expansion_v1
melodic_techno,Stephan Bodzin,Singularity,Herzblut Recordings,124,2015,430,Germany,,"Stephan Bodzin e conhecido por melodic techno com synths expressivos.",Melodic Techno,"Seed verificado para melodic techno.",verified_track_expansion_v1
melodic_techno,ARTBAT,Return To Oz,Diynamic,124,2019,480,Ukraine,,"ARTBAT levou melodic techno a grandes palcos.",Melodic Techno,"Seed verificado para melodic techno.",verified_track_expansion_v1
melodic_techno,Maceo Plex,Conjure Dreams,Ellum Audio,124,2014,470,United States,,"Maceo Plex conecta melodic techno e house escuro.",Melodic Techno,"Seed verificado para melodic techno.",verified_track_expansion_v1
industrial_techno,Ancient Methods,Knights And Bishops,Ancient Methods,135,2007,420,Germany,,"Ancient Methods e referencia de techno industrial e bruto.",Industrial Techno,"Seed verificado para industrial techno.",verified_track_expansion_v1
industrial_techno,Orphx,Critical Mass,Sonic Groove,132,2016,420,Canada,,"Orphx conecta industrial e techno com textura densa.",Industrial Techno,"Seed verificado para industrial techno.",verified_track_expansion_v1
industrial_techno,Surgeon,Badger Bite,Dynamic Tension,138,2016,390,United Kingdom,,"Surgeon e um dos nomes centrais do techno industrial e Birmingham techno.",Industrial Techno,"Seed verificado para industrial techno.",verified_track_expansion_v1
peak_time_techno,UMEK,Vibrancy,1605,132,2018,380,Slovenia,,"UMEK produz techno funcional e direto para pista.",Peak Time Techno,"Seed verificado para peak time techno.",verified_track_expansion_v1
peak_time_techno,Amelie Lens,Hypnotized,Lenske,132,2019,390,Belgium,,"Amelie Lens representa techno moderno de alta pressao.",Peak Time Techno,"Seed verificado para peak time techno.",verified_track_expansion_v1
peak_time_techno,Charlotte de Witte,Selected,KNTXT,132,2019,400,Belgium,,"Charlotte de Witte representa techno de alta pressao contemporaneo.",Peak Time Techno,"Seed verificado para peak time techno.",verified_track_expansion_v1
house,Mr Fingers,Can You Feel It,Trax Records,124,1986,360,United States,Chicago,"Mr Fingers e um dos nomes fundamentais do deep house e house.",House,"Seed verificado para house.",verified_track_expansion_v1
house,Marshall Jefferson,Move Your Body,Trax Records,124,1986,430,United States,Chicago,"Marshall Jefferson e autor de um dos hinos fundadores do house.",House,"Seed verificado para house.",verified_track_expansion_v1
house,Stardust,Music Sounds Better With You,Roule,124,1998,400,France,,"Stardust marcou a house music francesa com um classico global.",House,"Seed verificado para house.",verified_track_expansion_v1
deep_house,Maya Jane Coles,What They Say,Real Tone,122,2010,390,United Kingdom,,"Maya Jane Coles representa deep house moderno e elegante.",Deep House,"Seed verificado para deep house.",verified_track_expansion_v1
deep_house,Moodymann,Shades Of Jae,KDJ,120,1996,430,United States,Detroit,"Moodymann e um dos nomes mais importantes do deep house de Detroit.",Deep House,"Seed verificado para deep house.",verified_track_expansion_v1
deep_house,Theo Parrish,Falling Up,Third Ear,120,2005,480,United States,Detroit,"Theo Parrish representa deep house cru e cheio de alma.",Deep House,"Seed verificado para deep house.",verified_track_expansion_v1
tech_house,FISHER,Losing It,Catch And Release,125,2018,500,Australia,,"FISHER levou tech house moderno a um publico global.",Tech House,"Seed verificado para tech house.",verified_track_expansion_v1
tech_house,Green Velvet,Flash,Relief Records,126,1995,420,United States,Chicago,"Green Velvet e um nome essencial entre house e techno de club.",Tech House,"Seed verificado para tech house.",verified_track_expansion_v1
tech_house,Patrick Topping,Forget,Hot Creations,126,2014,430,United Kingdom,,"Patrick Topping representa tech house britanico de pista.",Tech House,"Seed verificado para tech house.",verified_track_expansion_v1
progressive_house,Deadmau5,Strobe,mau5trap,128,2009,630,Canada,,"Deadmau5 e referencia de progressive house melodico.",Progressive House,"Seed verificado para progressive house.",verified_track_expansion_v1
progressive_house,Eric Prydz,Opus,Pryda Recordings,126,2015,540,Sweden,,"Eric Prydz e referencia de progressive house expansivo.",Progressive House,"Seed verificado para progressive house.",verified_track_expansion_v1
progressive_house,Sasha,Xpander,Deconstruction,128,1999,650,United Kingdom,,"Sasha e um dos nomes historicos do progressive house.",Progressive House,"Seed verificado para progressive house.",verified_track_expansion_v1
afro_house,Black Coffee,We Dance Again,Soulistic Music,122,2015,420,South Africa,,"Black Coffee levou afro house sul-africano a um publico global.",Afro House,"Seed verificado para afro house.",verified_track_expansion_v1
afro_house,Culoe De Song,Y.O.U.D,Innervisions,122,2009,450,South Africa,,"Culoe De Song representa afro house profundo e hipnotico.",Afro House,"Seed verificado para afro house.",verified_track_expansion_v1
afro_house,Da Capo,Found You,Dopewax,122,2017,430,South Africa,,"Da Capo e conhecido por afro house melodico e atmosferico.",Afro House,"Seed verificado para afro house.",verified_track_expansion_v1
organic_house,Nicolas Jaar,Mi Mujer,Circus Company,112,2010,420,Chile,,"Nicolas Jaar mistura house organico com textura experimental.",Organic House,"Seed verificado para organic house.",verified_track_expansion_v1
organic_house,Be Svendsen,Andromeda,Music For Dreams,115,2017,430,Denmark,,"Be Svendsen representa organic house lento e narrativo.",Organic House,"Seed verificado para organic house.",verified_track_expansion_v1
organic_house,Acid Pauli,Nana,Ouie,118,2016,430,Germany,,"Acid Pauli combina house organico com psicodelia suave.",Organic House,"Seed verificado para organic house.",verified_track_expansion_v1
bass_house,Jauz,Feel The Volume,Buygore,128,2014,300,United States,,"Jauz ajudou a popularizar bass house moderno.",Bass House,"Seed verificado para bass house.",verified_track_expansion_v1
bass_house,Habstrakt,Chicken Soup,Monstercat,128,2017,260,France,,"Habstrakt e associado a bass house pesado e elastico.",Bass House,"Seed verificado para bass house.",verified_track_expansion_v1
bass_house,AC Slater,Bass Inside,Night Bass,128,2015,300,United States,,"AC Slater e nome central do bass house e night bass.",Bass House,"Seed verificado para bass house.",verified_track_expansion_v1
electro_house,Deadmau5,Ghosts N Stuff,mau5trap,128,2008,350,Canada,,"Deadmau5 marcou o electro house melodico dos anos 2000.",Electro House,"Seed verificado para electro house.",verified_track_expansion_v1
electro_house,Wolfgang Gartner,Illmerica,Ultra Records,128,2010,390,United States,,"Wolfgang Gartner e referencia de electro house detalhado.",Electro House,"Seed verificado para electro house.",verified_track_expansion_v1
electro_house,Justice,D.A.N.C.E.,Ed Banger,128,2007,250,France,,"Justice definiu uma estetica electro house francesa agressiva e pop.",Electro House,"Seed verificado para electro house.",verified_track_expansion_v1
drum_and_bass,Andy C,Heartbeat Loud,RAM Records,174,2014,300,United Kingdom,,"Andy C e um dos DJs mais importantes da historia do drum and bass.",Drum And Bass,"Seed verificado para drum and bass.",verified_track_expansion_v1
drum_and_bass,Sub Focus,Rock It,RAM Records,174,2009,330,United Kingdom,,"Sub Focus conecta drum and bass de pista e crossover melodico.",Drum And Bass,"Seed verificado para drum and bass.",verified_track_expansion_v1
drum_and_bass,High Contrast,If We Ever,Hospital Records,174,2007,360,United Kingdom,,"High Contrast trouxe melodias fortes para o drum and bass.",Drum And Bass,"Seed verificado para drum and bass.",verified_track_expansion_v1
liquid_dnb,Calibre,Even If,Signature,172,2010,360,United Kingdom,,"Calibre e referencia absoluta do liquid drum and bass.",Liquid DnB,"Seed verificado para liquid dnb.",verified_track_expansion_v1
liquid_dnb,LTJ Bukem,Atlantis,Good Looking Records,172,1993,420,United Kingdom,,"LTJ Bukem ajudou a definir o lado atmosferico do drum and bass.",Liquid DnB,"Seed verificado para liquid dnb.",verified_track_expansion_v1
liquid_dnb,Logistics,Together,Hospital Records,174,2006,340,United Kingdom,,"Logistics representa liquid dnb melodico e funcional.",Liquid DnB,"Seed verificado para liquid dnb.",verified_track_expansion_v1
neurofunk,Noisia,Stigma,Vision,174,2008,360,Netherlands,,"Noisia e referencia central do neurofunk moderno.",Neurofunk,"Seed verificado para neurofunk.",verified_track_expansion_v1
neurofunk,Black Sun Empire,Arrakis,Black Sun Empire Recordings,174,2004,390,Netherlands,,"Black Sun Empire representa neurofunk escuro e cinematico.",Neurofunk,"Seed verificado para neurofunk.",verified_track_expansion_v1
neurofunk,Phace,Cold Champagne,Neosignal,174,2010,360,Germany,,"Phace e associado a neurofunk tecnico e preciso.",Neurofunk,"Seed verificado para neurofunk.",verified_track_expansion_v1
jump_up,DJ Hazard,Mr Happy,Playaz,174,2007,360,United Kingdom,,"DJ Hazard e referencia do jump up drum and bass.",Jump Up,"Seed verificado para jump up.",verified_track_expansion_v1
jump_up,Sub Zero,Spin Doc,Playaz,174,2011,340,United Kingdom,,"Sub Zero representa jump up pesado e direto.",Jump Up,"Seed verificado para jump up.",verified_track_expansion_v1
jump_up,Taxman,Too Bad,Playaz,174,2008,350,United Kingdom,,"Taxman e conhecido por jump up funcional de pista.",Jump Up,"Seed verificado para jump up.",verified_track_expansion_v1
jungle,Shy FX,Original Nuttah,SOUR,170,1994,330,United Kingdom,,"Shy FX e um nome fundamental do jungle britanico.",Jungle,"Seed verificado para jungle.",verified_track_expansion_v1
jungle,Goldie,Inner City Life,FFRR,164,1995,430,United Kingdom,,"Goldie levou jungle e drum and bass para uma linguagem mais cinematica.",Jungle,"Seed verificado para jungle.",verified_track_expansion_v1
jungle,Adam F,Circles,Positiva,170,1997,430,United Kingdom,,"Adam F e conhecido por jungle melodico e atmosferico.",Jungle,"Seed verificado para jungle.",verified_track_expansion_v1
breakbeat,The Prodigy,Breathe,XL Recordings,130,1996,340,United Kingdom,,"The Prodigy misturou breakbeat rave e energia punk.",Breakbeat,"Seed verificado para breakbeat.",verified_track_expansion_v1
breakbeat,Plump DJs,Scram,Finger Lickin Records,132,2000,390,United Kingdom,,"Plump DJs representam breakbeat club dos anos 2000.",Breakbeat,"Seed verificado para breakbeat.",verified_track_expansion_v1
breakbeat,Hybrid,Finished Symphony,Distinctive Records,135,1999,540,United Kingdom,,"Hybrid uniu breakbeat e progressive com arranjos cinematicos.",Breakbeat,"Seed verificado para breakbeat.",verified_track_expansion_v1
uk_garage,MJ Cole,Sincere,Talkin Loud,132,1998,330,United Kingdom,,"MJ Cole e referencia essencial do UK garage melodico.",UK Garage,"Seed verificado para uk garage.",verified_track_expansion_v1
uk_garage,Artful Dodger,Re-Rewind,Public Demand,132,1999,310,United Kingdom,,"Artful Dodger ajudou a popularizar UK garage no mainstream.",UK Garage,"Seed verificado para uk garage.",verified_track_expansion_v1
uk_garage,El-B,Buck And Bury,Locked On,132,2000,330,United Kingdom,,"El-B e importante na ponte entre UK garage e dubstep inicial.",UK Garage,"Seed verificado para uk garage.",verified_track_expansion_v1
future_garage,Burial,Archangel,Hyperdub,134,2007,240,United Kingdom,,"Burial definiu uma linguagem melancolica para future garage.",Future Garage,"Seed verificado para future garage.",verified_track_expansion_v1
future_garage,Mount Kimbie,Carbonated,Hotflush,132,2010,300,United Kingdom,,"Mount Kimbie mistura future garage e pos-dubstep atmosferico.",Future Garage,"Seed verificado para future garage.",verified_track_expansion_v1
future_garage,Sepalcure,Pencil Pimp,Hotflush,134,2011,300,United States,,"Sepalcure representa future garage com textura soulful.",Future Garage,"Seed verificado para future garage.",verified_track_expansion_v1
dubstep,Skream,Midnight Request Line,Tempa,140,2005,330,United Kingdom,,"Skream e um dos nomes fundamentais do dubstep britanico.",Dubstep,"Seed verificado para dubstep.",verified_track_expansion_v1
dubstep,Benga,26 Basslines,Tempa,140,2008,310,United Kingdom,,"Benga ajudou a definir o dubstep de club.",Dubstep,"Seed verificado para dubstep.",verified_track_expansion_v1
dubstep,Digital Mystikz,Anti War Dub,DMZ,140,2006,420,United Kingdom,,"Digital Mystikz representa a profundidade dub do dubstep original.",Dubstep,"Seed verificado para dubstep.",verified_track_expansion_v1
downtempo,Bonobo,Kiara,Ninja Tune,100,2010,240,United Kingdom,,"Bonobo e referencia de downtempo organico e melodico.",Downtempo,"Seed verificado para downtempo.",verified_track_expansion_v1
downtempo,Thievery Corporation,Lebanese Blonde,ESL Music,92,1998,290,United States,,"Thievery Corporation mistura downtempo dub e lounge global.",Downtempo,"Seed verificado para downtempo.",verified_track_expansion_v1
downtempo,Zero 7,In The Waiting Line,Ultimate Dilemma,90,2001,280,United Kingdom,,"Zero 7 e conhecido por downtempo vocal suave.",Downtempo,"Seed verificado para downtempo.",verified_track_expansion_v1
ambient,Brian Eno,An Ending Ascent,EG,75,1983,260,United Kingdom,,"Brian Eno e uma das figuras centrais da musica ambiente.",Ambient,"Seed verificado para ambient.",verified_track_expansion_v1
ambient,Aphex Twin,Xtal,Warp Records,85,1992,290,United Kingdom,,"Aphex Twin conecta ambient techno e IDM com linguagem propria.",Ambient,"Seed verificado para ambient.",verified_track_expansion_v1
ambient,Biosphere,Poa Alpina,Apollo,80,1997,300,Norway,,"Biosphere e referencia de ambient frio e atmosferico.",Ambient,"Seed verificado para ambient.",verified_track_expansion_v1
chillout,Air,La femme d'argent,Source,90,1998,430,France,,"Air representa chillout frances com groove elegante.",Chillout,"Seed verificado para chillout.",verified_track_expansion_v1
chillout,Moby,Porcelain,Mute,96,1999,250,United States,,"Moby levou chillout melodico a um publico global.",Chillout,"Seed verificado para chillout.",verified_track_expansion_v1
chillout,Kruder And Dorfmeister,High Noon,G-Stone,90,1998,390,Austria,,"Kruder And Dorfmeister sao referencia de downtempo e chillout europeu.",Chillout,"Seed verificado para chillout.",verified_track_expansion_v1
slambient,VallaK,Inferis,The Endless Knot,178,2025,430,Brazil,,"VallaK aparece no eixo slambient e dark experimental brasileiro.",Slambient,"Seed verificado para slambient.",verified_track_expansion_v1
slambient,Vutt'un,Confundentur,Naturaiz Records,180,2025,420,Brazil,,"Vutt'un conecta slambient e psycore no catalogo independente brasileiro.",Slambient,"Seed verificado para slambient.",verified_track_expansion_v1
slambient,Atmik Shastra,Destruction Of Nightmares,The Endless Knot,220,2025,440,India,,"Atmik Shastra aparece em compilacoes slambient de alta velocidade.",Slambient,"Seed verificado para slambient.",verified_track_expansion_v1
idm,Autechre,Flutter,Warp Records,132,1994,520,United Kingdom,,"Autechre e referencia central da IDM abstrata.",IDM,"Seed verificado para idm.",verified_track_expansion_v1
idm,Squarepusher,My Red Hot Car,Warp Records,140,2001,280,United Kingdom,,"Squarepusher mistura IDM virtuosistica e breakbeats rapidos.",IDM,"Seed verificado para idm.",verified_track_expansion_v1
idm,Boards Of Canada,Roygbiv,Warp Records,100,1998,160,United Kingdom,,"Boards Of Canada e referencia de IDM nostalgica e analogica.",IDM,"Seed verificado para idm.",verified_track_expansion_v1
electro,Cybotron,Clear,Fantasy,124,1983,300,United States,Detroit,"Cybotron e um marco do electro e techno de Detroit.",Electro,"Seed verificado para electro.",verified_track_expansion_v1
electro,Afrika Bambaataa,Planet Rock,Tommy Boy,128,1982,380,United States,New York,"Afrika Bambaataa ajudou a definir electro e hip hop eletronico.",Electro,"Seed verificado para electro.",verified_track_expansion_v1
electro,The Egyptian Lover, Egypt Egypt, Egyptian Empire,126,1984,330,United States,Los Angeles,"The Egyptian Lover e referencia do electro funk da costa oeste.",Electro,"Seed verificado para electro.",verified_track_expansion_v1
brazilian_funk,DJ Marlboro,Rap do Silva,Furacao 2000,130,1995,250,Brazil,Rio de Janeiro,"DJ Marlboro e figura historica do funk carioca.",Brazilian Funk,"Seed verificado para brazilian funk.",verified_track_expansion_v1
brazilian_funk,Deize Tigrona,Injecao,Man Recordings,130,2004,230,Brazil,Rio de Janeiro,"Deize Tigrona e uma voz marcante do funk carioca.",Brazilian Funk,"Seed verificado para brazilian funk.",verified_track_expansion_v1
brazilian_funk,MC Fioti,Bum Bum Tam Tam,Universal Music,130,2017,220,Brazil,Sao Paulo,"MC Fioti levou funk brasileiro a alcance internacional.",Brazilian Funk,"Seed verificado para brazilian funk.",verified_track_expansion_v1
gabber,Angerfist,Raise Your Fist,Masters Of Hardcore,180,2006,330,Netherlands,,"Angerfist e um dos nomes mais populares do hardcore e gabber.",Gabber,"Seed verificado para gabber.",verified_track_expansion_v1
