style,artist,country,city,artist_bio,source
electro_house,Feed Me,United Kingdom,,"Feed Me representa electro house pesado e detalhado, com drops fortes e design sonoro colorido.",artist_expansion_v1
electro_house,The M Machine,United States,,"The M Machine conecta electro house e electronica melodica com producao limpa e futurista.",artist_expansion_v1
drum_and_bass,Goldie,United Kingdom,,"Goldie e figura essencial do drum and bass, ligado a Metalheadz e a narrativa sofisticada do genero.",artist_expansion_v1
drum_and_bass,Friction,United Kingdom,,"Friction reforca drum and bass moderno, direto e muito funcional para pista.",artist_expansion_v1
liquid_dnb,LTJ Bukem,United Kingdom,,"LTJ Bukem e pilar do liquid/intelligent drum and bass, com atmosfera jazzistica e espacial.",artist_expansion_v1
liquid_dnb,High Contrast,United Kingdom,,"High Contrast representa liquid drum and bass melodico, cinematografico e acessivel.",artist_expansion_v1
neurofunk,Mefjus,Austria,,"Mefjus reforca neurofunk tecnico, pesado e altamente detalhado.",artist_expansion_v1
neurofunk,Phace,Germany,,"Phace representa neurofunk preciso, futurista e cheio de engenharia de baixo.",artist_expansion_v1
jump_up,Hazard,United Kingdom,,"DJ Hazard e nome importante do jump up, com linhas de baixo marcantes e energia direta.",artist_expansion_v1
jump_up,Annix,United Kingdom,,"Annix reforca jump up moderno com drops fortes e linguagem de club.",artist_expansion_v1
jungle,Congo Natty,United Kingdom,,"Congo Natty e referencia do jungle, conectando bass culture, reggae e breakbeats acelerados.",artist_expansion_v1
jungle,Tim Reaper,United Kingdom,,"Tim Reaper representa o jungle contemporaneo com respeito a breakbeats classicos e energia rave.",artist_expansion_v1
breakbeat,Plump DJs,United Kingdom,,"Plump DJs sao referencia do breaks/breakbeat de pista, com groove quebrado e baixo forte.",artist_expansion_v1
breakbeat,Stanton Warriors,United Kingdom,,"Stanton Warriors reforcam breakbeat club, com bateria quebrada e energia bass.",artist_expansion_v1
uk_garage,MJ Cole,United Kingdom,,"MJ Cole e nome essencial do UK garage, com swing, vocal soulful e batida elastica.",artist_expansion_v1
uk_garage,Conducta,United Kingdom,,"Conducta representa a nova fase do UK garage, com groove leve, swing e energia de club.",artist_expansion_v1
future_garage,Joy Orbison,United Kingdom,,"Joy Orbison conecta future garage, bass e house britanico com atmosfera urbana e groove quebrado.",artist_expansion_v1
future_garage,Mount Kimbie,United Kingdom,,"Mount Kimbie reforca future garage e post-dubstep com textura indie-eletronica.",artist_expansion_v1
dubstep,Mala,United Kingdom,,"Mala e pilar do dubstep profundo, com subgrave meditativo e cultura de sound system.",artist_expansion_v1
dubstep,Coki,United Kingdom,,"Coki reforca dubstep classico com wobble cru, peso fisico e energia de bass culture.",artist_expansion_v1
downtempo,Emancipator,United States,,"Emancipator representa downtempo organico, melodico e cinematografico.",artist_expansion_v1
downtempo,Blockhead,United States,,"Blockhead reforca downtempo instrumental com samples, groove lento e narrativa urbana.",artist_expansion_v1
ambient,Loscil,Canada,,"Loscil e referencia de ambient minimalista, com camadas profundas e sensacao de espaco.",artist_expansion_v1
ambient,A Winged Victory For The Sullen,United States,,"A Winged Victory For The Sullen conecta ambient, neoclassico e textura cinematografica.",artist_expansion_v1
chillout,Zero 7,United Kingdom,,"Zero 7 representa chillout/downtempo suave, com vocais aereos e producao calorosa.",artist_expansion_v1
chillout,Kruder & Dorfmeister,Austria,,"Kruder & Dorfmeister sao referencia de chillout, downtempo e dub elegante de lounge.",artist_expansion_v1
slambient,Cindervomit,United States,,"Cindervomit reforca slambient e psicodelia extrema com textura densa e atmosfera profunda.",artist_expansion_v1
slambient,Phyllorum,United States,,"Phyllorum amplia slambient com paisagens aceleradas, densas e experimentais.",artist_expansion_v1
idm,Squarepusher,United Kingdom,,"Squarepusher e nome essencial do IDM, com virtuosismo ritmico, baixo complexo e programacao intensa.",artist_expansion_v1
idm,Clark,United Kingdom,,"Clark representa IDM moderno com texturas quebradas, peso e sensibilidade melodica.",artist_expansion_v1
electro,Drexciya,United States,Detroit,"Drexciya e entidade essencial do electro de Detroit, com baixo aquatico e imaginario futurista.",artist_expansion_v1
electro,Aux 88,United States,Detroit,"Aux 88 reforca electro de Detroit com vocoder, groove mecanico e energia cyberfunk.",artist_expansion_v1
brazilian_funk,DJ Polyvox,Brazil,Rio de Janeiro,"DJ Polyvox reforca funk carioca de baile com producao direta, percussao seca e energia de rua.",artist_expansion_v1
brazilian_funk,DJ RD da NH,Brazil,Rio de Janeiro,"DJ RD da NH entra no funk brasileiro contemporaneo com batidas de baile e impacto viral.",artist_expansion_v1
gabber,DJ Paul Elstak,Netherlands,Rotterdam,"DJ Paul Elstak e figura historica do gabber/hardcore holandes e da cultura de Rotterdam.",artist_expansion_v1
gabber,Neophyte,Netherlands,Rotterdam,"Neophyte e referencia classica do gabber, com kicks fortes e heranca hardcore.",artist_expansion_v1
hardstyle,Headhunterz,Netherlands,,"Headhunterz representa hardstyle melodico de grande festival, com kicks fortes e leads emotivos.",artist_expansion_v1
hardstyle,Wildstylez,Netherlands,,"Wildstylez reforca hardstyle melodico, euforico e voltado a grandes palcos.",artist_expansion_v1
