slug,name,event_type,electronic_focus,market_tier,franchise_name,home_city,home_country_code,continent,founding_year,official_url,primary_genres,selection_basis,djmag_2026_rank,publication_status,notes
primer-music-festival,Primer Music Festival,festival,primary,global_major,Primer,Athens,GR,Europe,2018,https://primermusicfestival.com/,edm|house|techno|trance,djmag_2026_ranked,19,published,Grande festival eletronico na Grecia.
amf,AMF,festival,exclusive,global_major,ALDA,Amsterdam,NL,Europe,2013,https://amf-festival.com/,edm|house|trance,djmag_2026_ranked,21,published,Evento de arena ligado ao calendario do Amsterdam Dance Event.
terminal-v,Terminal V,festival_series,exclusive,global_major,Terminal V,Edinburgh,GB,Europe,2017,https://terminalv.co.uk/,techno|house,djmag_2026_ranked,22,published,Marca britanica de grandes eventos de techno.
world-club-dome,World Club Dome,festival,exclusive,global_major,BigCityBeats,Frankfurt,DE,Europe,2013,https://www.worldclubdome.com/,edm|house|techno|trance|hardstyle,djmag_2026_ranked,23,published,Festival de estadio e arenas na Alemanha.
monegros-desert-festival,Monegros Desert Festival,festival,exclusive,global_major,Monegros,Fraga,ES,Europe,1994,https://monegrosfestival.com/,techno|house|drum_and_bass|hardstyle,djmag_2026_ranked,26,published,Festival eletronico de longa duracao no deserto de Monegros.
awakenings-festival,Awakenings Festival,festival,exclusive,global_major,Awakenings,Hilvarenbeek,NL,Europe,2001,https://www.awakenings.com/,techno,djmag_2026_ranked,34,published,Uma das principais marcas globais de techno.
movement-detroit,Movement Music Festival,festival,exclusive,global_major,Movement,Detroit,US,North America,2000,https://movementfestival.com/,detroit_techno|house|electro,djmag_2026_ranked,35,published,Festival ligado a historia do techno de Detroit.
808-festival,808 Festival,festival,exclusive,regional_major,808 Festival,Bangkok,TH,Asia,2013,https://www.808festival.net/,edm|house|techno|trance,djmag_2026_ranked,27,published,Grande festival eletronico da Tailandia.
s2o-songkran,S2O Songkran Music Festival,festival_series,exclusive,global_major,S2O,Bangkok,TH,Asia,2015,https://www.s2ofestival.com/,edm|house,djmag_2026_ranked,32,published,Franquia internacional inspirada no Songkran.
djakarta-warehouse-project,Djakarta Warehouse Project,festival,exclusive,global_major,Ismaya Live,Jakarta,ID,Asia,2008,https://dwpfest.com/,edm|house|techno|trance,djmag_2026_ranked,64,published,Ancora de grande escala para o Sudeste Asiatico.
ultra-japan,ULTRA Japan,festival,exclusive,global_major,ULTRA Worldwide,Tokyo,JP,Asia,2014,https://ultrajapan.com/,edm|house|techno|trance,djmag_2026_ranked,59,published,Edicao japonesa da franquia ULTRA Worldwide.
ultra-korea,ULTRA Korea,festival,exclusive,global_major,ULTRA Worldwide,Seoul,KR,Asia,2012,https://ultrakorea.com/,edm|house|techno|trance,djmag_2026_ranked,70,published,Edicao sul-coreana da franquia ULTRA Worldwide.
edc-mexico,EDC Mexico,festival,exclusive,global_mega,Electric Daisy Carnival,Mexico City,MX,North America,2014,https://mexico.electricdaisycarnival.com/,edm|house|techno|trance|bass_music,djmag_2026_ranked,45,published,Grande edicao latino-americana da franquia EDC.
edc-thailand,EDC Thailand,festival,exclusive,global_major,Electric Daisy Carnival,Phuket,TH,Asia,2025,https://thailand.electricdaisycarnival.com/,edm|house|techno|trance|bass_music,djmag_2026_ranked,81,published,Edicao tailandesa da franquia EDC.
veld-music-festival,Veld Music Festival,festival,primary,global_major,Veld,Toronto,CA,North America,2012,https://veldmusicfestival.com/,edm|house|techno,djmag_2026_ranked,40,published,Grande festival dance do Canada.
arc-music-festival,ARC Music Festival,festival,exclusive,global_major,ARC,Chicago,US,North America,2021,https://arcmusicfestival.com/,house|techno,djmag_2026_ranked,41,published,Festival dedicado a house e techno em Chicago.
crssd-festival,CRSSD Festival,festival,primary,global_major,CRSSD,San Diego,US,North America,2015,https://www.crssdfest.com/,house|techno|electronic_live,djmag_2026_ranked,52,published,Festival de curadoria house techno e live electronic.
hard-summer,HARD Summer,festival,primary,global_major,HARD,Los Angeles,US,North America,2007,https://www.hardsummer.com/,edm|house|bass_music,djmag_2026_ranked,56,published,Grande festival dance do sul da California.
lost-lands,Lost Lands Festival,festival,exclusive,specialist_major,Lost Lands,Legend Valley,US,North America,2017,https://www.lostlandsfestival.com/,dubstep|bass_music,djmag_2026_ranked,96,published,Referencia global de dubstep e bass music.
ultra-south-africa,ULTRA South Africa,festival_series,exclusive,global_major,ULTRA Worldwide,,ZA,Africa,2014,https://ultrasouthafrica.com/,edm|house|techno|trance,djmag_2026_ranked,95,published,Edicao multi-cidade em Joanesburgo e Cidade do Cabo.
soundstorm,SOUNDSTORM,festival,primary,global_mega,MDLBEAST,Riyadh,SA,Asia,2019,https://mdlbeast.com/,edm|house|techno|dance_pop,djmag_2026_ranked,91,published,Megaevento musical com forte programacao eletronica.
ultra-buenos-aires,ULTRA Buenos Aires,festival,exclusive,global_major,ULTRA Worldwide,Buenos Aires,AR,South America,2012,https://ultrabuenosaires.com/,edm|house|techno|trance,djmag_2026_ranked,82,published,Edicao argentina da franquia ULTRA Worldwide.
creamfields-chile,Creamfields Chile,festival,exclusive,global_major,Creamfields,Santiago,CL,South America,2004,https://creamfields.cl/,edm|house|techno|trance,djmag_2026_ranked,72,published,Edicao chilena da franquia Creamfields.
tomorrowland-brasil,Tomorrowland Brasil,festival,exclusive,global_mega,Tomorrowland,Itu,BR,South America,2015,https://brasil.tomorrowland.com/,edm|house|techno|trance|drum_and_bass,regional_market_anchor,,published,Edicao brasileira da franquia Tomorrowland.
xxxperience,XXXPERIENCE,festival,exclusive,regional_major,XXXPERIENCE,Itu,BR,South America,1996,https://www.xxxperience.com.br/,psytrance|trance|techno|house|edm,regional_market_anchor,,published,Marca historica da musica eletronica brasileira.
so-track-boa,So Track Boa,festival_series,exclusive,regional_major,So Track Boa,Sao Paulo,BR,South America,2013,https://www.sotrackboa.com/,house|tech_house|melodic_techno,regional_market_anchor,,published,Marca brasileira de festas e festivais itinerantes.
universo-paralello,Universo Paralello,festival,exclusive,specialist_major,Universo Paralello,Itubera,BR,South America,2000,https://universoparalello.org/,psytrance|goa_trance|progressive_psy|ambient,regional_market_anchor,,published,Referencia brasileira e internacional de cultura psytrance.
beyond-the-valley,Beyond The Valley,mixed_genre_festival,significant,global_major,Beyond The Valley,Hesse,AU,Oceania,2014,https://www.beyondthevalley.com.au/,house|techno|dance_pop|electronic_live,djmag_2026_ranked,67,published,Festival multigenero com presenca eletronica relevante.
ultra-australia,ULTRA Australia,festival_series,exclusive,global_major,ULTRA Worldwide,,AU,Oceania,,https://ultraaustralia.com/,edm|house|techno|trance,djmag_2026_ranked,86,published,Edicao australiana da franquia ULTRA Worldwide.
ultra-europe,ULTRA Europe,festival,exclusive,global_mega,ULTRA Worldwide,Split,HR,Europe,2013,https://ultraeurope.com/,edm|house|techno|trance,djmag_2026_ranked,47,published,Grande edicao europeia da franquia ULTRA Worldwide.
airbeat-one,AIRBEAT ONE Festival,festival,exclusive,global_major,AIRBEAT ONE,Neustadt-Glewe,DE,Europe,2002,https://www.airbeat-one.de/en/,edm|house|techno|hardstyle,djmag_2026_ranked,46,published,Grande festival dance da Alemanha.
sonar-barcelona,Sonar Barcelona,festival,primary,global_major,Sonar,Barcelona,ES,Europe,1994,https://sonar.es/en,experimental_electronic|techno|house|electronic_live,djmag_2026_ranked,38,published,Festival de musica avancada arte e tecnologia.
boom-festival,Boom Festival,festival,exclusive,specialist_major,Boom Festival,Idanha-a-Nova,PT,Europe,1997,https://www.boomfestival.org/,psytrance|goa_trance|progressive_psy|ambient,global_specialist_anchor,,published,Referencia internacional de cultura psicodelica.
ozora-festival,O.Z.O.R.A. Festival,festival,exclusive,specialist_major,O.Z.O.R.A.,Igar,HU,Europe,1999,https://ozorafestival.eu/,psytrance|goa_trance|progressive_psy|ambient,global_specialist_anchor,,published,Referencia internacional de psytrance e artes psicodelicas.
nature-one,NATURE ONE,festival,exclusive,global_major,NATURE ONE,Kastellaun,DE,Europe,1995,https://www.nature-one.de/,techno|trance|hardstyle|edm,djmag_2026_ranked,94,published,Festival alemao de longa duracao.
world-dj-festival,World DJ Festival,festival,exclusive,global_major,World DJ Festival,Seoul,KR,Asia,2007,https://wdjfest.com/,edm|house|techno,djmag_2026_ranked,25,published,Grande festival eletronico da Coreia do Sul.
elrow,elrow,party_series,exclusive,global_major,elrow,Barcelona,ES,Europe,2010,https://elrow.com/,house|tech_house,global_party_brand,,published,Marca itinerante de festas tematicas.
circoloco,Circoloco,party_series,exclusive,global_major,Circoloco,Ibiza,ES,Europe,1999,https://circolocoibiza.com/,house|techno,global_party_brand,,published,Marca de festas nascida no DC-10 Ibiza.
afterlife,Afterlife,party_series,exclusive,global_major,Afterlife,,,Global,2016,https://after.life/,melodic_techno|techno,global_party_brand,,published,Marca itinerante com producao audiovisual de grande escala.
boiler-room,Boiler Room,party_series,exclusive,global_major,Boiler Room,London,GB,Europe,2010,https://boilerroom.tv/,house|techno|experimental_electronic|bass_music,global_party_brand,,published,Plataforma global de eventos transmitidos e arquivo audiovisual.
resistance,RESISTANCE,party_series,exclusive,global_major,ULTRA Worldwide,Miami,US,North America,2015,https://resistancemusic.com/,techno|house,global_party_brand,,published,Marca underground da ULTRA Worldwide.
a-state-of-trance,A State of Trance Festival,festival_series,exclusive,global_major,A State of Trance,Rotterdam,NL,Europe,,https://festival.astateoftrance.com/,trance,djmag_2026_ranked,53,published,Marca global de trance com festivais e edicoes itinerantes.
defected,Defected,party_series,exclusive,global_major,Defected,London,GB,Europe,1999,https://defected.com/events,house|deep_house|tech_house|afro_house,global_party_brand,,published,Gravadora e marca global de eventos de house.
zamna,Zamna,festival_series,exclusive,global_major,Zamna,Tulum,MX,North America,2017,https://zamnafestival.com/,techno|house|melodic_techno,global_party_brand,,published,Marca de eventos nascida em Tulum com edicoes internacionais.
dgtl,DGTL,festival_series,exclusive,global_major,DGTL,Amsterdam,NL,Europe,2013,https://dgtl-festival.com/,techno|house|experimental_electronic,djmag_2026_ranked,37,published,Franquia internacional de festivais eletronicos.
amsterdam-dance-event,Amsterdam Dance Event,citywide_program,primary,global_major,ADE,Amsterdam,NL,Europe,1996,https://www.amsterdam-dance-event.nl/en/,house|techno|trance|edm|experimental_electronic,global_industry_hub,,published,Programa distribuido pela cidade com conferencia e centenas de eventos.
