"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","scene_role","source_anchor","source_anchor_url","primary_social_url","social_discovery_links","label_links","cover_art_url","profile_tracks","status","confidence","source_note"
"broken_techno","Aquarian","Canada","Berlin","Aquarian entra como live no Tra Tra Trax em Berghain, abrindo o eixo broken techno, bass e club latino/experimental.","Broken Techno / Bass / Live","Recomendar Aquarian quando o usuario pedir techno fragmentado, bass, breaks ou live de clube.","berlin_club_radar_202607_bass_broken","Tra Tra Trax 31.07.2026 / Berghain","https://www.berghain.berlin/en/program/","https://www.berghain.berlin/en/program/","https://www.youtube.com/results?search_query=Aquarian%20live%20set%20techno;https://soundcloud.com/search?q=Aquarian%20live%20set","https://www.berghain.berlin/en/program/","","Berghain program July 2026; Aquarian Live","published","high","Official Berghain program lists Aquarian Live for Tra Tra Trax 31.07.2026; live role preserved."
"raw_techno","Decka","United Kingdom","","Decka entra pelo line-up Tresor meets Unterwegs, no recorte raw/deep techno.","Raw Techno / Deep Techno","Recomendar Decka para techno funcional, subterraneo e de basement.","berlin_club_radar_202607_raw_hardgroove","Tresor meets Unterwegs 24.07.2026","https://tresorberlin.com/club/events/","https://tresorberlin.com/club/events/","https://www.youtube.com/results?search_query=Decka%20DJ%20set%20techno;https://soundcloud.com/search?q=Decka%20DJ%20set%20techno","https://tresorberlin.com/club/events/","","Tresor events July 2026; Decka","published","high","Official Tresor events page lists Decka for Tresor meets Unterwegs; taxonomy uses raw/deep techno."
"raw_techno","Radial","Netherlands","","Radial entra pelo line-up Tresor meets Unterwegs e reforca raw/warehouse techno no app.","Raw Techno / Warehouse Techno","Recomendar Radial para techno de basement com drive e pressao direta.","berlin_club_radar_202607_raw_hardgroove","Tresor meets Unterwegs 24.07.2026","https://tresorberlin.com/club/events/","https://tresorberlin.com/club/events/","https://www.youtube.com/results?search_query=Radial%20DJ%20set%20techno;https://soundcloud.com/search?q=Radial%20DJ%20set%20techno","https://tresorberlin.com/club/events/","","Tresor events July 2026; Radial","published","high","Official Tresor events page lists Radial for Tresor meets Unterwegs; taxonomy uses raw/warehouse techno."
"industrial_techno","The Lady Machine","Brazil","Berlin","The Lady Machine entra pelo line-up Tresor meets Unterwegs, com recorte industrial/raw techno.","Industrial Techno / Raw Techno","Recomendar The Lady Machine para techno severo, escuro e de arquitetura industrial.","berlin_club_radar_202607_industrial_ebm","Tresor meets Unterwegs 24.07.2026","https://tresorberlin.com/club/events/","https://tresorberlin.com/club/events/","https://www.youtube.com/results?search_query=The%20Lady%20Machine%20DJ%20set;https://soundcloud.com/search?q=The%20Lady%20Machine%20DJ%20set","https://tresorberlin.com/club/events/","","Tresor events July 2026; The Lady Machine","published","high","Official Tresor events page lists The Lady Machine for Tresor meets Unterwegs; taxonomy uses industrial/raw techno."
"hypnotic_techno","Sedvs","Italy","","Sedvs entra pelo line-up Tresor meets Unterwegs como descoberta de hypnotic/deep techno.","Hypnotic Techno / Deep Techno","Recomendar Sedvs para techno hipnotico, profundo e menos obvio.","berlin_club_radar_202607_hypnotic_deep","Tresor meets Unterwegs 24.07.2026","https://tresorberlin.com/club/events/","https://tresorberlin.com/club/events/","https://www.youtube.com/results?search_query=Sedvs%20DJ%20set%20techno;https://soundcloud.com/search?q=Sedvs%20DJ%20set%20techno","https://tresorberlin.com/club/events/","","Tresor events July 2026; Sedvs","published","high","Official Tresor events page lists Sedvs for Tresor meets Unterwegs; taxonomy uses hypnotic/deep techno."
"electro","Electric Indigo","Austria","Vienna","Electric Indigo entra pelo AFTERPRIDE de Tresor como referencia de techno/electro experimental.","Techno / Electro / Experimental","Recomendar Electric Indigo para electro/techno com pesquisa historica e experimental.","berlin_club_radar_202607_acid_electro","AFTERPRIDE 25.07.2026 / Tresor","https://tresorberlin.com/club/events/","https://tresorberlin.com/club/events/","https://www.youtube.com/results?search_query=Electric%20Indigo%20DJ%20set;https://soundcloud.com/search?q=Electric%20Indigo%20DJ%20set","https://tresorberlin.com/club/events/","","Tresor events July 2026; Electric Indigo","published","high","Official Tresor events page lists Electric Indigo for AFTERPRIDE; taxonomy uses acid/electro."
"deep_techno","Erika","United States","Detroit","Erika entra pelo AFTERPRIDE de Tresor e reforca deep techno, acid e sensibilidade analogica.","Deep Techno / Acid / Techno","Recomendar Erika para deep/acid techno psicodelico e analogico.","berlin_club_radar_202607_hypnotic_deep","AFTERPRIDE 25.07.2026 / Tresor","https://tresorberlin.com/club/events/","https://tresorberlin.com/club/events/","https://www.youtube.com/results?search_query=Erika%20DJ%20set%20techno;https://soundcloud.com/search?q=Erika%20DJ%20set%20techno","https://tresorberlin.com/club/events/","","Tresor events July 2026; Erika","published","high","Official Tresor events page lists Erika for AFTERPRIDE; taxonomy uses deep/acid techno."
"techno","Marcel Fengler","Germany","Berlin","Marcel Fengler entra pelo Singularity de Tresor e ancora o radar de techno berlinense.","Techno / Raw Techno","Recomendar Marcel Fengler para techno berlinense classico-contemporaneo, direto e de club.","berlin_club_radar_202607_raw_hardgroove","Singularity 27.07.2026 / Tresor","https://tresorberlin.com/club/events/","https://tresorberlin.com/club/events/","https://www.youtube.com/results?search_query=Marcel%20Fengler%20DJ%20set;https://soundcloud.com/search?q=Marcel%20Fengler%20DJ%20set","https://tresorberlin.com/club/events/","","Tresor events July 2026; Marcel Fengler","published","high","Official Tresor events page lists Marcel Fengler for Singularity; taxonomy uses raw techno."
"industrial_techno","Perc","United Kingdom","London","Perc entra pelo Tresor meets Perc Trax e ancora industrial techno no pacote Berlin club radar.","Industrial Techno / Perc Trax","Recomendar Perc para techno agressivo, industrial, seco e sem cara de mainstage.","berlin_club_radar_202607_industrial_ebm","Tresor meets Perc Trax 31.07.2026","https://tresorberlin.com/club/events/","https://tresorberlin.com/club/events/","https://www.youtube.com/results?search_query=Perc%20DJ%20set%20techno;https://soundcloud.com/search?q=Perc%20DJ%20set%20techno","https://tresorberlin.com/club/events/","","Tresor events July 2026; Perc","published","high","Official Tresor events page lists Perc for Tresor meets Perc Trax; taxonomy uses industrial techno."
"hardgroove_techno","Lacchesi","France","","Lacchesi entra pelo Tresor meets Perc Trax e reforca hardgroove/raw techno de pista.","Hardgroove Techno / Raw Techno","Recomendar Lacchesi para techno percussivo, moderno e com alta energia.","berlin_club_radar_202607_raw_hardgroove","Tresor meets Perc Trax 31.07.2026","https://tresorberlin.com/club/events/","https://tresorberlin.com/club/events/","https://www.youtube.com/results?search_query=Lacchesi%20DJ%20set%20techno;https://soundcloud.com/search?q=Lacchesi%20DJ%20set%20techno","https://tresorberlin.com/club/events/","","Tresor events July 2026; Lacchesi","published","high","Official Tresor events page lists Lacchesi for Tresor meets Perc Trax; taxonomy uses hardgroove/raw techno."
"hypnotic_techno","SHXCXCHCXSH","Sweden","","SHXCXCHCXSH entra como live no Deestricted 8Y em RSO.BERLIN, com recorte hypnotic/experimental techno.","Hypnotic Techno / Experimental Techno / Live","Recomendar SHXCXCHCXSH para live de techno abstrato, textural e hipnotico.","berlin_club_radar_202607_hypnotic_live","Deestricted 8Y 03.07.2026 / RSO.BERLIN","https://ra.co/events/2377740","https://ra.co/events/2377740","https://www.youtube.com/results?search_query=SHXCXCHCXSH%20live%20techno;https://soundcloud.com/search?q=SHXCXCHCXSH%20live%20techno","https://ra.co/events/2377740","","RA Deestricted 8Y July 2026; SHXCXCHCXSH live","published","high","Resident Advisor event lists SHXCXCHCXSH live at RSO.BERLIN; taxonomy uses hypnotic/experimental techno."
"hypnotic_techno","Wata Igarashi","Japan","Tokyo","Wata Igarashi entra pelo Deestricted 8Y em RSO.BERLIN e ancora hypnotic/deep techno no radar.","Hypnotic Techno / Deep Techno","Recomendar Wata Igarashi para techno japones hipnotico, preciso e de longa duracao.","berlin_club_radar_202607_hypnotic_deep","Deestricted 8Y 03.07.2026 / RSO.BERLIN","https://ra.co/events/2377740","https://ra.co/events/2377740","https://www.youtube.com/results?search_query=Wata%20Igarashi%20DJ%20set;https://soundcloud.com/search?q=Wata%20Igarashi%20DJ%20set","https://ra.co/events/2377740","","RA Deestricted 8Y July 2026; Wata Igarashi","published","high","Resident Advisor event lists Wata Igarashi at RSO.BERLIN; taxonomy uses hypnotic/deep techno."
"raw_techno","Hitam","Netherlands","","Hitam entra pelo Deestricted 8Y em RSO.BERLIN e reforca raw/hypnotic techno.","Raw Techno / Hypnotic Techno","Recomendar Hitam para techno seco, moderno, profundo e pouco melodico.","berlin_club_radar_202607_raw_hardgroove","Deestricted 8Y 03.07.2026 / RSO.BERLIN","https://ra.co/events/2377740","https://ra.co/events/2377740","https://www.youtube.com/results?search_query=Hitam%20DJ%20set%20techno;https://soundcloud.com/search?q=Hitam%20DJ%20set%20techno","https://ra.co/events/2377740","","RA Deestricted 8Y July 2026; Hitam","published","high","Resident Advisor event lists Hitam at RSO.BERLIN; taxonomy uses raw/hypnotic techno."
"electro","LSDXOXO","United States","Berlin","LSDXOXO entra pelo HE.SHE.THEY x SPIELRAUM x RSO CSD Weekender, com foco em electro, techno e queer rave.","Electro / Techno / Queer Rave","Recomendar LSDXOXO para electro/techno de alta energia e contexto queer rave.","berlin_club_radar_202607_acid_electro","HE.SHE.THEY x SPIELRAUM x RSO CSD Weekender","https://events.musicofourdesire.com/event/xehf-heshethey-x-spielraum-x-rso-csd-weekender-festival-berlin-germany","https://events.musicofourdesire.com/event/xehf-heshethey-x-spielraum-x-rso-csd-weekender-festival-berlin-germany","https://www.youtube.com/results?search_query=LSDXOXO%20DJ%20set;https://soundcloud.com/search?q=LSDXOXO%20DJ%20set","https://ra.co","","Mood/RA CSD Weekender July 2026; LSDXOXO","published","high","Mood event page lists LSDXOXO and marks the event techno/electro/acid/house; taxonomy uses acid/electro."
"acid_techno","u.r.trax","France","Paris","u.r.trax entra pelo CSD Weekender em RSO.BERLIN com tag de acid techno.","Acid Techno / Electro","Recomendar u.r.trax para acid techno novo, rapido e urbano.","berlin_club_radar_202607_acid_electro","HE.SHE.THEY x SPIELRAUM x RSO CSD Weekender","https://events.musicofourdesire.com/event/xehf-heshethey-x-spielraum-x-rso-csd-weekender-festival-berlin-germany","https://events.musicofourdesire.com/event/xehf-heshethey-x-spielraum-x-rso-csd-weekender-festival-berlin-germany","https://www.youtube.com/results?search_query=u.r.trax%20DJ%20set;https://soundcloud.com/search?q=u.r.trax%20DJ%20set","https://ra.co","","Mood/RA CSD Weekender July 2026; u.r.trax","published","high","Mood event page lists u.r.trax and labels acid techno; taxonomy uses acid/electro."
"electro","JASSS","Spain","Berlin","JASSS entra pelo CSD Weekender em RSO.BERLIN no eixo electro, industrial e experimental techno.","Electro / Industrial / Experimental Techno","Recomendar JASSS para electro escuro, industrial e experimental com pressao de clube.","berlin_club_radar_202607_acid_electro","HE.SHE.THEY x SPIELRAUM x RSO CSD Weekender","https://events.musicofourdesire.com/event/xehf-heshethey-x-spielraum-x-rso-csd-weekender-festival-berlin-germany","https://events.musicofourdesire.com/event/xehf-heshethey-x-spielraum-x-rso-csd-weekender-festival-berlin-germany","https://www.youtube.com/results?search_query=JASSS%20DJ%20set;https://soundcloud.com/search?q=JASSS%20DJ%20set","https://ra.co","","Mood/RA CSD Weekender July 2026; JASSS","published","high","Mood event page lists JASSS and labels electro; taxonomy uses acid/electro with industrial edge."
"hardgroove_techno","Amanda Mussi","Brazil","Berlin","Amanda Mussi entra pelo CSD Weekender em RSO.BERLIN com tag de Brazilian techno e energia hardgroove.","Brazilian Techno / Hardgroove","Recomendar Amanda Mussi para techno brasileiro-berlinense, rapido e percussivo.","berlin_club_radar_202607_raw_hardgroove","HE.SHE.THEY x SPIELRAUM x RSO CSD Weekender","https://events.musicofourdesire.com/event/xehf-heshethey-x-spielraum-x-rso-csd-weekender-festival-berlin-germany","https://events.musicofourdesire.com/event/xehf-heshethey-x-spielraum-x-rso-csd-weekender-festival-berlin-germany","https://www.youtube.com/results?search_query=Amanda%20Mussi%20DJ%20set%20techno;https://soundcloud.com/search?q=Amanda%20Mussi%20DJ%20set%20techno","https://ra.co","","Mood/RA CSD Weekender July 2026; Amanda Mussi","published","high","Mood event page lists Amanda Mussi and labels Brazilian techno; taxonomy uses raw/hardgroove."
"dub_techno","John T. Gast","United Kingdom","","John T. Gast entra pelo Pain Management no OHM Berlin, no eixo industrial dub, dub techno e experimental.","Industrial Dub / Dub Techno / Experimental","Recomendar John T. Gast para dub, baixa frequencia, sound system e techno dissolvido.","berlin_club_radar_202607_bass_broken","Pain Management 10.07.2026 / OHM Berlin","https://events.musicofourdesire.com/event/qq5i-pain-management-event-berlin-germany","https://events.musicofourdesire.com/event/qq5i-pain-management-event-berlin-germany","https://www.youtube.com/results?search_query=John%20T.%20Gast%20DJ%20set;https://soundcloud.com/search?q=John%20T.%20Gast%20DJ%20set","https://ra.co","","Mood/RA Pain Management July 2026; John T. Gast","published","high","Mood event page lists John T. Gast and describes dub, sound system, industrial and experimental techno focus."
"dub_techno","Trailcam","International","","Trailcam entra pelo Pain Management no OHM Berlin, descrito em torno de dub techno e murk de sound system.","Dub Techno / Experimental Bass","Recomendar Trailcam para dub techno moderno, sujo, experimental e de baixa frequencia.","berlin_club_radar_202607_bass_broken","Pain Management 10.07.2026 / OHM Berlin","https://events.musicofourdesire.com/event/qq5i-pain-management-event-berlin-germany","https://events.musicofourdesire.com/event/qq5i-pain-management-event-berlin-germany","https://www.youtube.com/results?search_query=Trailcam%20DJ%20set%20dub%20techno;https://soundcloud.com/search?q=Trailcam%20DJ%20set%20dub%20techno","https://ra.co","","Mood/RA Pain Management July 2026; Trailcam","published","high","Mood event page lists Trailcam and labels dub techno; taxonomy uses bass/broken techno lane."
"experimental_bass","NAP","Mexico","Mexico City","NAP entra pelo Pain Management no OHM Berlin, com foco em repeticao ritmica, mutacao dub e baixo.","Experimental Bass / Dub Techno","Recomendar NAP para baixo, pressao e texturas dub sem cair em techno reto.","berlin_club_radar_202607_bass_broken","Pain Management 10.07.2026 / OHM Berlin","https://events.musicofourdesire.com/event/qq5i-pain-management-event-berlin-germany","https://events.musicofourdesire.com/event/qq5i-pain-management-event-berlin-germany","https://www.youtube.com/results?search_query=NAP%20DJ%20set%20experimental%20bass;https://soundcloud.com/search?q=NAP%20DJ%20set","https://ra.co","","Mood/RA Pain Management July 2026; NAP","published","high","Mood event page lists NAP and describes rhythmic repetition and dubbed-out mutation; taxonomy uses experimental bass."
"hardgroove_techno","ELLA WAX","Germany","Berlin","ELLA WAX entra pelo evento Amsterdam Techno Records em ://about blank, no eixo hypnotic groove e hardgroove.","Hypnotic Groove / Hardgroove","Recomendar ELLA WAX para nomes locais de hardgroove/hypnotic techno em festas menores de Berlim.","berlin_club_radar_202607_raw_hardgroove","Amsterdam Techno Records 23.07.2026 / ://about blank","https://ra.co/events/2460038","https://ra.co/events/2460038","https://www.youtube.com/results?search_query=ELLA%20WAX%20DJ%20set%20techno;https://soundcloud.com/search?q=ELLA%20WAX%20DJ%20set%20techno","https://ra.co/events/2460038","","RA Amsterdam Techno Records July 2026; ELLA WAX","published","medium_high","Resident Advisor event lists ELLA WAX and describes the night as hypnotic groove and hardgroove; individual artist taxonomy is event-context based."
"hypnotic_techno","TAKT130","Germany","Berlin","TAKT130 entra pelo evento Amsterdam Techno Records em ://about blank, no recorte hypnotic groove/techno.","Hypnotic Groove / Techno","Recomendar TAKT130 para descoberta local de techno hipnotico e groove de festa menor.","berlin_club_radar_202607_hypnotic_deep","Amsterdam Techno Records 23.07.2026 / ://about blank","https://ra.co/events/2460038","https://ra.co/events/2460038","https://www.youtube.com/results?search_query=TAKT130%20DJ%20set%20techno;https://soundcloud.com/search?q=TAKT130%20DJ%20set%20techno","https://ra.co/events/2460038","","RA Amsterdam Techno Records July 2026; TAKT130","published","medium_high","Resident Advisor event lists TAKT130 and describes the night as hypnotic groove and hardgroove; individual artist taxonomy is event-context based."
"hypnotic_techno","DJ Nobu","Japan","Chiba","DJ Nobu entra pelo Third Eye Festival perto de Berlim, descrito pela RA como hypnotic techno.","Hypnotic Techno / Psychedelic Techno","Recomendar DJ Nobu para techno psicodelico, hipnotico e de criterio alto.","berlin_club_radar_202607_hypnotic_deep","Third Eye Festival 03-06.07.2026 / Berlin region","https://ra.co/events/2288806","https://ra.co/events/2288806","https://www.youtube.com/results?search_query=DJ%20Nobu%20set%20hypnotic%20techno;https://soundcloud.com/search?q=DJ%20Nobu%20set","https://ra.co/events/2288806","","RA Third Eye Festival July 2026; DJ Nobu","published","high","Resident Advisor lists DJ Nobu for Third Eye Festival and describes the event's trademark as hypnotic techno."
"deep_techno","Kangding Ray","France","Berlin","Kangding Ray entra pelo Third Eye Festival perto de Berlim, reforcando deep techno, IDM e experimental techno.","Deep Techno / IDM / Experimental Techno","Recomendar Kangding Ray para techno cerebral, elegante, profundo e experimental.","berlin_club_radar_202607_hypnotic_deep","Third Eye Festival 03-06.07.2026 / Berlin region","https://ra.co/events/2288806","https://ra.co/events/2288806","https://www.youtube.com/results?search_query=Kangding%20Ray%20DJ%20set%20techno;https://soundcloud.com/search?q=Kangding%20Ray%20DJ%20set","https://ra.co/events/2288806","","RA Third Eye Festival July 2026; Kangding Ray","published","high","Resident Advisor lists Kangding Ray for Third Eye Festival; taxonomy uses deep/experimental techno."
