style,artist,country,city,artist_bio,artist_genre,artist_profile_hint,source
"techno","Donato Dozzy","Italy","Rome","Italian artist known for deep hypnotic techno and immersive electronic music.","techno","deep hypnotic techno","artist_expansion_v7_api_reinforce"
"techno","Rene Wise","United Kingdom","Brighton","UK techno producer with rolling percussion-led modern club sound.","techno","percussive techno; hypnotic groove","artist_expansion_v7_api_reinforce"
"techno","Chlar","Switzerland","Lausanne","Swiss techno artist focused on fast contemporary club tools.","techno","modern techno; fast groove","artist_expansion_v7_api_reinforce"
"techno","Alarico","Italy","Milan","Italian techno producer known for sharp fast contemporary warehouse tracks.","techno","modern techno; hard groove","artist_expansion_v7_api_reinforce"
"techno","Marron","Netherlands","Amsterdam","Dutch DJ and producer associated with hypnotic rolling techno.","techno","hypnotic techno; rolling groove","artist_expansion_v7_api_reinforce"
"tech_house","Mau P","Netherlands","Amsterdam","Dutch tech house producer known for club-focused bassline-driven tracks.","tech_house","modern tech house; peak-time club","artist_expansion_v7_api_reinforce"
"tech_house","John Summit","United States","Chicago","American producer blending tech house, house and festival club energy.","tech_house","tech house; festival club","artist_expansion_v7_api_reinforce"
"tech_house","Dom Dolla","Australia","Melbourne","Australian producer known for accessible modern house and tech house hits.","tech_house","tech house; modern club","artist_expansion_v7_api_reinforce"
"tech_house","Josh Butler","United Kingdom","Leeds","UK producer known for deep rolling house and tech house grooves.","tech_house","tech house; rolling groove","artist_expansion_v7_api_reinforce"
"tech_house","Detlef","Greece","Athens","Greek producer associated with bouncy tech house club tracks.","tech_house","tech house; bouncy club","artist_expansion_v7_api_reinforce"
"tech_house","Latmun","United Kingdom","Nottingham","UK tech house producer with energetic percussive club sound.","tech_house","tech house; percussive groove","artist_expansion_v7_api_reinforce"
"tech_house","Max Chapman","United Kingdom","London","UK tech house producer known for chunky dancefloor grooves.","tech_house","tech house; chunky groove","artist_expansion_v7_api_reinforce"
"tech_house","Rossi.","United Kingdom","London","UK artist associated with rolling minimal and tech house-adjacent grooves.","tech_house","rolling tech house; minimal groove","artist_expansion_v7_api_reinforce"
"tech_house","wAFF","United Kingdom","London","UK producer known for rolling house and tech house rhythms.","tech_house","tech house; rolling club","artist_expansion_v7_api_reinforce"
"tech_house","Deeper Purpose","United Kingdom","London","UK producer with modern tech house and festival club energy.","tech_house","tech house; peak-time groove","artist_expansion_v7_api_reinforce"
"tech_house","East End Dubs","United Kingdom","London","UK artist known for minimal house and rolling tech house-adjacent grooves.","tech_house","minimal tech house; rolling groove","artist_expansion_v7_api_reinforce"
"tech_house","Ben Sterling","United Kingdom","London","UK tech house producer with percussive modern club sound.","tech_house","tech house; percussive club","artist_expansion_v7_api_reinforce"
"tech_house","Alisha","United Kingdom","Peterborough","UK tech house artist with crisp modern club productions.","tech_house","tech house; modern groove","artist_expansion_v7_api_reinforce"
"tech_house","Classmatic","Brazil","Curitiba","Brazilian tech house producer with groove-heavy club tracks.","tech_house","Brazilian tech house; club groove","artist_expansion_v7_api_reinforce"
"tech_house","Beltran","Brazil","Sao Paulo","Brazilian producer associated with modern tech house and house grooves.","tech_house","Brazilian tech house; modern club","artist_expansion_v7_api_reinforce"
"tech_house","Hugel","France","Marseille","French producer blending Latin house, tech house and festival club sound.","tech_house","tech house; Latin club","artist_expansion_v7_api_reinforce"
"tech_house","San Pacho","Croatia","Zagreb","Croatian producer with Latin-influenced tech house and club tracks.","tech_house","tech house; Latin groove","artist_expansion_v7_api_reinforce"
"tech_house","Matroda","Croatia","Zagreb","Croatian producer blending tech house, bass house and club-focused grooves.","tech_house","tech house; bass-driven club","artist_expansion_v7_api_reinforce"
"tech_house","Sosa UK","United Kingdom","Liverpool","UK tech house producer known for rolling club basslines.","tech_house","tech house; rolling bassline","artist_expansion_v7_api_reinforce"
"tech_house","Darius Syrossian","United Kingdom","Leeds","UK house and tech house artist with long-running underground club roots.","tech_house","tech house; underground house","artist_expansion_v7_api_reinforce"
"tech_house","Hot Since 82","United Kingdom","Leeds","UK artist known for deep house and tech house crossover club sound.","tech_house","tech house; deep club","artist_expansion_v7_api_reinforce"
"tech_house","Jamie Jones","United Kingdom","London","UK DJ and producer central to modern tech house and house scenes.","tech_house","tech house; house groove","artist_expansion_v7_api_reinforce"
"tech_house","Dennis Cruz","Spain","Madrid","Spanish producer known for groove-led tech house and underground house.","tech_house","tech house; Spanish groove","artist_expansion_v7_api_reinforce"
"tech_house","PAWSA","United Kingdom","London","UK tech house producer with stripped rolling club grooves.","tech_house","tech house; rolling minimal groove","artist_expansion_v7_api_reinforce"
"tech_house","Cloonee","United Kingdom","Sheffield","UK producer associated with modern tech house and energetic club tracks.","tech_house","tech house; modern club","artist_expansion_v7_api_reinforce"
"tech_house","Michael Bibi","United Kingdom","London","UK tech house artist associated with Solid Grooves and modern club sound.","tech_house","tech house; Solid Grooves sound","artist_expansion_v7_api_reinforce"
"tech_house","FISHER","Australia","Gold Coast","Australian producer known for festival-facing tech house energy.","tech_house","tech house; festival club","artist_expansion_v7_api_reinforce"
"tech_house","Chris Lake","United Kingdom","London","UK producer known for house and tech house club hits.","tech_house","tech house; modern festival club","artist_expansion_v7_api_reinforce"
"progressive_psy","Ritmo","Israel","Tel Aviv","Israeli progressive psytrance project with polished melodic drive.","progressive_psy","progressive psy; melodic festival","artist_expansion_v7_api_reinforce"
"progressive_psy","Egorythmia","North Macedonia","Skopje","Progressive psytrance artist with deep melodic and hypnotic arrangements.","progressive_psy","progressive psy; deep groove","artist_expansion_v7_api_reinforce"
"progressive_psy","E-Clip","Serbia","Belgrade","Progressive psytrance producer with full-on crossover energy.","progressive_psy","progressive psy; full-on edge","artist_expansion_v7_api_reinforce"
"progressive_psy","Zyce","Serbia","Belgrade","Progressive psytrance artist known for clean melodic club sound.","progressive_psy","progressive psy; Serbian scene","artist_expansion_v7_api_reinforce"
"progressive_psy","Flegma","Serbia","Belgrade","Serbian progressive psytrance producer with hypnotic melodic pressure.","progressive_psy","progressive psy; melodic groove","artist_expansion_v7_api_reinforce"
"progressive_psy","Protonica","Germany","Hamburg","German progressive psytrance duo with deep melodic festival sound.","progressive_psy","progressive psy; melodic festival","artist_expansion_v7_api_reinforce"
"progressive_psy","Liquid Soul","Switzerland","Zurich","Swiss progressive psytrance artist known for melodic festival anthems.","progressive_psy","progressive psy; festival energy","artist_expansion_v7_api_reinforce"
"progressive_psy","Ticon","Sweden","Malmo","Swedish progressive psytrance duo with long-running melodic club influence.","progressive_psy","progressive psy; classic groove","artist_expansion_v7_api_reinforce"
"progressive_psy","Perfect Stranger","Israel","Tel Aviv","Israeli artist bridging progressive psytrance and techno-influenced grooves.","progressive_psy","progressive psy; techno crossover","artist_expansion_v7_api_reinforce"
"progressive_psy","Ace Ventura","Israel","Tel Aviv","Israeli progressive psytrance artist with major festival presence.","progressive_psy","progressive psy; festival trance","artist_expansion_v7_api_reinforce"
"dark_progressive","Sumiruna","Australia","Melbourne","Dark progressive psytrance project with deep tribal psychedelic grooves.","dark_progressive","dark progressive psy; tribal groove","artist_expansion_v7_api_reinforce"
"dark_progressive","Merkaba","Australia","Melbourne","Australian psychedelic artist known for deep organic progressive and downtempo sound.","dark_progressive","dark progressive psy; organic","artist_expansion_v7_api_reinforce"
"dark_progressive","Kromagon","United States","California","Progressive psychedelic project with dark chunky and technoid influence.","dark_progressive","dark progressive psy; chunky groove","artist_expansion_v7_api_reinforce"
"dark_progressive","Hypogeo","Italy","Turin","Italian producer known for dark progressive psychedelic trance.","dark_progressive","dark progressive psy; heavy groove","artist_expansion_v7_api_reinforce"
"dark_progressive","Sensient","Australia","Melbourne","Australian dark progressive psytrance artist and label figure.","dark_progressive","dark progressive psy; minimal groove","artist_expansion_v7_api_reinforce"
"dark_progressive","Tetrameth","Australia","Melbourne","Australian producer blending progressive psytrance with deep psychedelic funk.","dark_progressive","dark progressive psy; deep groove","artist_expansion_v7_api_reinforce"
"dark_progressive","Ryanosaurus","Australia","Melbourne","Australian psychedelic producer with dark progressive and chunky sound.","dark_progressive","dark progressive psy; psychedelic groove","artist_expansion_v7_api_reinforce"
"dark_progressive","Grouch","New Zealand","Wellington","New Zealand producer bridging psychedelic progressive, dub and bass music.","dark_progressive","dark progressive psy; organic bass","artist_expansion_v7_api_reinforce"
"dark_progressive","Evil Oil Man","United Kingdom","London","UK psychedelic producer with chunky dark progressive and experimental groove.","dark_progressive","dark progressive psy; experimental groove","artist_expansion_v7_api_reinforce"
"dark_progressive","Kliment","Bulgaria","Sofia","Bulgarian artist known for deep psychedelic progressive and downtempo atmospheres.","dark_progressive","dark progressive psy; atmospheric groove","artist_expansion_v7_api_reinforce"
