style,artist,country,city,artist_bio,source
full_on_morning,Lifeforms,Israel,,Full-on morning moderno com groove redondo e sintese colorida.,artist_expansion_v2
full_on_morning,Outsiders,Israel,,Full-on e psytrance moderno com pressao e clareza de pista.,artist_expansion_v2
progressive_psy,Neelix,Germany,,Progressive psy acessivel com baixo elastico e melodias diretas.,artist_expansion_v2
progressive_psy,Phaxe,Denmark,,Progressive psy melodico com atmosfera limpa e groove fluido.,artist_expansion_v2
progressive_psy,Querox,Germany,,Progressive psy de festival com linhas grandes e energia luminosa.,artist_expansion_v2
progressive_psy,Hi Profile,Greece,,Progressive psy melodico e funcional para pista aberta.,artist_expansion_v2
progressive_psy,Static Movement,Israel,,Progressive psy emocional com drive consistente e melodias amplas.,artist_expansion_v2
hi_tech,Kasatka,Russia,,Hi-tech psicodelico com velocidade alta e textura agressiva.,artist_expansion_v2
hi_tech,Kokobloko,Germany,,Hi-tech detalhado com BPM acelerado e sintese mutante.,artist_expansion_v2
hi_tech,Fungus Funk,Russia,,Hi-tech e psytrance rapido com groove pesado e timbres acidos.,artist_expansion_v2
hi_tech,Virtuanoise,Italy,,Hi-tech de alta pressao com arranjos extremos e energia de pico.,artist_expansion_v2
hi_tech,Maramba,Brazil,,Hi-tech brasileiro com velocidade intensa e assinatura psicodelica.,artist_expansion_v2
dark_progressive,Tijah,Australia,,Dark progressive zenonesque com groove profundo e clima hipnotico.,artist_expansion_v2
dark_progressive,One Tasty Morsel,Australia,,Dark progressive organico com baixo elastico e narrativa estranha.,artist_expansion_v2
dark_progressive,Pspiralife,Australia,,Dark progressive psicodelico com textura tribal e evolucao lenta.,artist_expansion_v2
dark_progressive,Minimal Criminal,Brazil,,Dark progressive brasileiro com leitura hipnotica e groove seco.,artist_expansion_v2
dark_progressive,Breger,Germany,,Dark progressive e psytech com pulsacao sombria e precisa.,artist_expansion_v2
goa_trance,Astral Projection,Israel,,Goa trance classico com melodias ascendentes e energia espiritual.,artist_expansion_v2
goa_trance,Pleiadians,Italy,,Goa trance melodico e intenso com linhas acidas memoraveis.,artist_expansion_v2
goa_trance,Dimension 5,United Kingdom,,Goa trance classico com synths luminosos e estrutura expansiva.,artist_expansion_v2
goa_trance,Transwave,France,,Goa trance frances com melodias fortes e impacto de pista.,artist_expansion_v2
goa_trance,Crop Circles,Italy,,Goa trance melodico com camadas acidas e aura classica.,artist_expansion_v2
psy_comercial,Reality Test,Israel,,Psy comercial de festival com hooks diretos e producao moderna.,artist_expansion_v2
psy_comercial,Omiki,Israel,,Psy comercial de grande palco com drops marcantes e energia alta.,artist_expansion_v2
psy_comercial,Reality Test,Israel,,Psytrance de festival com vocal e melodias acessiveis.,artist_expansion_v2
psy_comercial,WHITENO1SE,Israel,,Psy comercial com impacto mainstream e baixo forte.,artist_expansion_v2
psy_comercial,MR.BLACK,Israel,,Psy comercial e big room trance com energia de festival.,artist_expansion_v2
trance_uplifting,Bryan Kearney,Ireland,,Trance uplifting intenso com melodias emocionais e energia de pico.,artist_expansion_v2
trance_uplifting,Sean Tyas,United States,,Trance uplifting tecnico com leads fortes e bateria rapida.,artist_expansion_v2
trance_uplifting,Factor B,Australia,,Trance uplifting emotivo com breakdowns longos e retorno euforico.,artist_expansion_v2
trance_uplifting,Will Atkinson,United Kingdom,,Trance uplifting poderoso com acento acido e energia extrema.,artist_expansion_v2
trance_uplifting,Cold Blue,Germany,,Trance uplifting limpo e melodico com construcao emocional.,artist_expansion_v2
techno,Ben Klock,Germany,,Techno hipnotico de club com repeticao precisa e som de Berlim.,artist_expansion_v2
techno,Marcel Dettmann,Germany,,Techno seco e profundo ligado a cultura de sound system.,artist_expansion_v2
techno,Rodhad,Germany,,Techno hipnotico com tensao longa e atmosfera escura.,artist_expansion_v2
techno,Oscar Mulero,Spain,,Techno espanhol de alta precisao e textura sombria.,artist_expansion_v2
techno,Jeff Mills,United States,,Techno de Detroit com pulso futurista e linguagem essencial.,artist_expansion_v2
acid_techno,Hardfloor,Germany,,Acid techno classico com linhas 303 marcantes e energia rave.,artist_expansion_v2
acid_techno,Tin Man,United States,,Acid techno melodico com timbres 303 elegantes e profundos.,artist_expansion_v2
acid_techno,Josh Wink,United States,,Acid techno e house com tensao crescente e heranca rave.,artist_expansion_v2
acid_techno,KiNK,Bulgaria,,Acid e techno ao vivo com groove fisico e sintese expressiva.,artist_expansion_v2
acid_techno,Charlotte de Witte,Belgium,,Acid techno moderno com energia forte e leitura de grande pista.,artist_expansion_v2
hard_techno,Shlomo,France,,Hard techno moderno com pressao forte e atmosfera industrial.,artist_expansion_v2
hard_techno,Trym,France,,Hard techno e rave trance com energia acelerada e melodias grandes.,artist_expansion_v2
hard_techno,Charlie Sparks,United Kingdom,,Hard techno de alta intensidade com kicks frontais e clima rave.,artist_expansion_v2
hard_techno,Basswell,France,,Hard techno pesado com drops diretos e energia de pico.,artist_expansion_v2
hard_techno,Klangkuenstler,Germany,,Hard techno industrial com tensao fisica e groove agressivo.,artist_expansion_v2
minimal_techno,Zip,Germany,,Minimal techno cirurgico com groove sutil e narrativa de club.,artist_expansion_v2
minimal_techno,Cabanne,France,,Minimal techno frances com swing seco e detalhe microscopico.,artist_expansion_v2
minimal_techno,Jan Jelinek,Germany,,Minimal e microhouse com textura dub e repeticao delicada.,artist_expansion_v2
minimal_techno,Akufen,Canada,,Microhouse minimal com cortes vocais e groove fragmentado.,artist_expansion_v2
minimal_techno,Mathew Jonson,Canada,,Minimal techno melodico com linhas analogicas e progressao viva.,artist_expansion_v2
melodic_techno,Adriatique,Switzerland,,Melodic techno elegante com tensao harmonica e groove profundo.,artist_expansion_v2
melodic_techno,Colyn,Netherlands,,Melodic techno moderno com atmosferas grandes e baixo firme.,artist_expansion_v2
melodic_techno,Agents Of Time,Italy,,Melodic techno cinematico com synths amplos e progressao emocional.,artist_expansion_v2
melodic_techno,Mathame,Italy,,Melodic techno de clima dramatico e identidade vocal eterea.,artist_expansion_v2
melodic_techno,Recondite,Germany,,Melodic techno minimalista com melancolia e textura profunda.,artist_expansion_v2
industrial_techno,Surgeon,United Kingdom,,Industrial techno e Birmingham techno com precisao bruta.,artist_expansion_v2
industrial_techno,Regis,United Kingdom,,Industrial techno seco e intenso com estetica austera.,artist_expansion_v2
industrial_techno,Tommy Four Seven,United Kingdom,,Industrial techno moderno com peso mecanico e som granulado.,artist_expansion_v2
industrial_techno,Phase Fatale,United States,,Industrial techno sombrio com energia post-punk e corpo de club.,artist_expansion_v2
industrial_techno,Orphx,Canada,,Industrial techno profundo com textura ritualistica e tensao continua.,artist_expansion_v2
peak_time_techno,UMEK,Slovenia,,Peak-time techno direto com groove grande e energia de festival.,artist_expansion_v2
peak_time_techno,Veerus,Italy,,Peak-time techno melodico e potente com baixo firme.,artist_expansion_v2
peak_time_techno,Teenage Mutants,Germany,,Peak-time techno com drops grandes e tensao moderna.,artist_expansion_v2
peak_time_techno,Joyhauser,Belgium,,Peak-time techno belga com pressao e melodias escuras.,artist_expansion_v2
peak_time_techno,Reinier Zonneveld,Netherlands,,Peak-time acid techno ao vivo com energia de arena.,artist_expansion_v2
house,Derrick Carter,United States,,House de Chicago com groove sofisticado e swing de club.,artist_expansion_v2
house,Louie Vega,United States,,House musical e soulful com raiz latina e cultura de pista.,artist_expansion_v2
house,Todd Terry,United States,,House nova-iorquino com samples marcantes e energia classica.,artist_expansion_v2
house,MK,United States,,House vocal e garage house com hooks fortes e groove acessivel.,artist_expansion_v2
house,Moodymann,United States,,House de Detroit com alma, samples e profundidade club.,artist_expansion_v2
deep_house,Theo Parrish,United States,,Deep house de Detroit com alma crua e groove hipnotico.,artist_expansion_v2
deep_house,Osunlade,United States,,Deep house espiritual com percussao organica e atmosfera soulful.,artist_expansion_v2
deep_house,Glenn Underground,United States,,Deep house jazzistico com musicalidade rica e heranca de Chicago.,artist_expansion_v2
deep_house,Fred P,United States,,Deep house profundo e meditativo com textura de club underground.,artist_expansion_v2
deep_house,Ron Trent,United States,,Deep house elegante com percussoes organicas e longa progressao.,artist_expansion_v2
tech_house,Green Velvet,United States,,Tech house e house de Chicago com vocal marcante e humor de club.,artist_expansion_v2
tech_house,Patrick Topping,United Kingdom,,Tech house direto com baixo forte e energia de pista grande.,artist_expansion_v2
tech_house,Latmun,United Kingdom,,Tech house moderno com groove seco e drops funcionais.,artist_expansion_v2
tech_house,Detlef,Greece,,Tech house com baixo robusto e assinatura de club mediterranea.,artist_expansion_v2
tech_house,Cuartero,Spain,,Tech house espanhol com groove minimal e pulsacao quente.,artist_expansion_v2
progressive_house,John Digweed,United Kingdom,,Progressive house sofisticado com narrativa longa e mistura elegante.,artist_expansion_v2
progressive_house,Guy J,Israel,,Progressive house melodico e profundo com construcao emocional.,artist_expansion_v2
progressive_house,Nick Warren,United Kingdom,,Progressive house classico com selecao narrativa e atmosfera ampla.,artist_expansion_v2
progressive_house,Dave Seaman,United Kingdom,,Progressive house britanico com heranca club e mixes envolventes.,artist_expansion_v2
progressive_house,Eelke Kleijn,Netherlands,,Progressive house cinematografico com melodias amplas e groove refinado.,artist_expansion_v2
afro_house,Enoo Napa,South Africa,,Afro house profundo com percussao elegante e atmosfera espiritual.,artist_expansion_v2
afro_house,Lemon & Herb,South Africa,,Afro house melodico sul-africano com groove percussivo e calor de pista.,artist_expansion_v2
afro_house,Hyena,South Africa,,Afro house cinematico com bateria organica e profundidade tribal.,artist_expansion_v2
afro_house,Pablo Fierro,Spain,,Afro house com fusao latina e percussao expansiva.,artist_expansion_v2
afro_house,Manoo,France,,Afro house e deep house com groove refinado e sensibilidade soulful.,artist_expansion_v2
organic_house,Bedouin,United States,,Organic house com clima desertico, percussao suave e melodias profundas.,artist_expansion_v2
organic_house,Be Svendsen,Denmark,,Organic house teatral com grooves lentos e instrumentos imaginativos.,artist_expansion_v2
organic_house,Armen Miran,Armenia,,Organic house melodico com atmosfera emocional e textura profunda.,artist_expansion_v2
organic_house,Tim Green,United Kingdom,,Organic house elegante com melodias delicadas e progressao lenta.,artist_expansion_v2
organic_house,YokoO,France,,Organic house profundo com groove macio e clima contemplativo.,artist_expansion_v2
bass_house,Tchami,France,,Bass house e future house com baixo elastico e energia club.,artist_expansion_v2
bass_house,Chris Lorenzo,United Kingdom,,Bass house britanico com subgrave forte e swing de garage.,artist_expansion_v2
bass_house,Wax Motif,Australia,,Bass house moderno com groove limpo e baixo pesado.,artist_expansion_v2
bass_house,Bijou,United States,,Bass house com influencia g-house e energia direta.,artist_expansion_v2
bass_house,Matroda,Croatia,,Bass house seco e potente com groove minimal e impacto de club.,artist_expansion_v2
electro_house,Madeon,France,,Electro house melodico com brilho pop e producao detalhada.,artist_expansion_v2
electro_house,The Bloody Beetroots,Italy,,Electro house agressivo com energia punk e drops fortes.,artist_expansion_v2
electro_house,Digitalism,Germany,,Electro house europeu com synths marcantes e heranca indie dance.,artist_expansion_v2
electro_house,Crookers,Italy,,Electro house/fidget com baixo divertido e energia de club.,artist_expansion_v2
electro_house,Proxy,Russia,,Electro house bruto com timbres distorcidos e energia rave.,artist_expansion_v2
drum_and_bass,High Contrast,United Kingdom,,Drum and bass melodico com energia cinematografica e alma de pista.,artist_expansion_v2
drum_and_bass,LTJ Bukem,United Kingdom,,Drum and bass atmosferico com jazz e profundidade espacial.,artist_expansion_v2
drum_and_bass,Goldie,United Kingdom,,Drum and bass classico com narrativa sofisticada e peso cultural.,artist_expansion_v2
drum_and_bass,Dillinja,United Kingdom,,Drum and bass pesado com baixo fisico e heranca jungle.,artist_expansion_v2
drum_and_bass,Shy FX,United Kingdom,,Drum and bass e jungle com energia sound system e vocal marcante.,artist_expansion_v2
liquid_dnb,London Elektricity,United Kingdom,,Liquid DnB musical com soul, cordas e energia positiva.,artist_expansion_v2
liquid_dnb,Dawn Wall,United Kingdom,,Liquid DnB elegante com melodia luminosa e bateria fluida.,artist_expansion_v2
liquid_dnb,Nu:Tone,United Kingdom,,Liquid DnB refinado com groove soulful e producao limpa.,artist_expansion_v2
liquid_dnb,Bcee,United Kingdom,,Liquid DnB emotivo com baixo macio e vocal envolvente.,artist_expansion_v2
liquid_dnb,Monrroe,United Kingdom,,Liquid DnB moderno com atmosfera profunda e melancolica.,artist_expansion_v2
neurofunk,Audio,United Kingdom,,Neurofunk pesado com baixo agressivo e engenharia precisa.,artist_expansion_v2
neurofunk,The Upbeats,New Zealand,,Neurofunk dinamico com impacto forte e baixos mutantes.,artist_expansion_v2
neurofunk,Current Value,Germany,,Neurofunk e drum and bass extremo com design sonoro metalico.,artist_expansion_v2
neurofunk,State Of Mind,New Zealand,,Neurofunk potente com linhas grossas e energia de club.,artist_expansion_v2
neurofunk,Emperor,United Kingdom,,Neurofunk tecnico com grooves escuros e baixo articulado.,artist_expansion_v2
jump_up,Kanine,United Kingdom,,Jump up moderno com drops explosivos e baixo frontal.,artist_expansion_v2
jump_up,Sub Zero,United Kingdom,,Jump up pesado com linhas de baixo memoraveis e energia direta.,artist_expansion_v2
jump_up,Majistrate,United Kingdom,,Jump up classico com groove bruto e forte presenca em pista.,artist_expansion_v2
jump_up,Upgrade,United Kingdom,,Jump up atual com baixo divertido e impacto de rave.,artist_expansion_v2
jump_up,Voltage,United Kingdom,,Jump up e drum and bass de club com peso e swing.,artist_expansion_v2
jungle,General Levy,United Kingdom,,Jungle vocal classico com energia ragga e cultura de sound system.,artist_expansion_v2
jungle,Remarc,United Kingdom,,Jungle classico com breaks intensos e bateria cortante.,artist_expansion_v2
jungle,Roni Size,United Kingdom,,Jungle e drum and bass com musicalidade e baixo sofisticado.,artist_expansion_v2
jungle,Omni Trio,United Kingdom,,Jungle atmosferico com melodias emotivas e breaks fluidos.,artist_expansion_v2
jungle,4hero,United Kingdom,,Jungle e broken beat com sofisticacao harmonica e ritmo quebrado.,artist_expansion_v2
breakbeat,The Prodigy,United Kingdom,,Breakbeat rave com energia punk e impacto de estadio.,artist_expansion_v2
breakbeat,Hybrid,United Kingdom,,Breakbeat cinematico com cordas, progressao e baixo forte.,artist_expansion_v2
breakbeat,Adam Freeland,United Kingdom,,Breakbeat de club com atitude rave e groove quebrado.,artist_expansion_v2
breakbeat,Krafty Kuts,United Kingdom,,Breakbeat divertido e funkado com foco em pista.,artist_expansion_v2
breakbeat,Elite Force,United Kingdom,,Breakbeat pesado com baixo robusto e energia tech-funk.,artist_expansion_v2
uk_garage,Artful Dodger,United Kingdom,,UK garage classico com swing vocal e baixo elastico.,artist_expansion_v2
uk_garage,Wookie,United Kingdom,,UK garage soulful com batida saltitante e groove quente.,artist_expansion_v2
uk_garage,Todd Edwards,United States,,UK garage e house vocal com cortes ritmicos inconfundiveis.,artist_expansion_v2
uk_garage,Tuff Jam,United Kingdom,,UK garage classico com swing de club e producao refinada.,artist_expansion_v2
uk_garage,Sammy Virji,United Kingdom,,UK garage moderno com energia leve e baixo divertido.,artist_expansion_v2
future_garage,Jamie xx,United Kingdom,,Future garage e bass music com melancolia urbana e groove quebrado.,artist_expansion_v2
future_garage,Sepalcure,United States,,Future garage com textura quente e batida quebrada delicada.,artist_expansion_v2
future_garage,Maribou State,United Kingdom,,Future garage e electronica organica com melodias suaves.,artist_expansion_v2
future_garage,Pariah,United Kingdom,,Future garage e bass experimental com atmosferas espacosas.,artist_expansion_v2
future_garage,XXYYXX,United States,,Future garage e beat music com vocal recortado e clima nocturno.,artist_expansion_v2
dubstep,Distance,United Kingdom,,Dubstep profundo com peso metalico e atmosfera sombria.,artist_expansion_v2
dubstep,Loefah,United Kingdom,,Dubstep minimal e pesado com subgrave central e espaco escuro.,artist_expansion_v2
dubstep,Pinch,United Kingdom,,Dubstep de Bristol com baixo profundo e clima experimental.,artist_expansion_v2
dubstep,Joker,United Kingdom,,Dubstep colorido e grimey com synths brilhantes e baixo forte.,artist_expansion_v2
dubstep,Truth,New Zealand,,Dubstep profundo com subgrave meditativo e design sonoro escuro.,artist_expansion_v2
downtempo,DJ Krush,Japan,,Downtempo e trip-hop instrumental com batidas secas e atmosfera urbana.,artist_expansion_v2
downtempo,Fila Brazillia,United Kingdom,,Downtempo britanico com groove relaxado e textura musical.,artist_expansion_v2
downtempo,The Cinematic Orchestra,United Kingdom,,Downtempo cinematico com jazz, cordas e clima contemplativo.,artist_expansion_v2
downtempo,Quantic,United Kingdom,,Downtempo organico com funk, latinidade e textura calorosa.,artist_expansion_v2
downtempo,Kid Loco,France,,Downtempo frances com trip-hop suave e atmosfera de lounge.,artist_expansion_v2
ambient,William Basinski,United States,,Ambient minimalista com loops longos e beleza desgastada.,artist_expansion_v2
ambient,Steve Roach,United States,,Ambient expansivo com paisagens sonoras profundas e meditativas.,artist_expansion_v2
ambient,Gas,Germany,,Ambient techno nebuloso com pulso distante e textura imersiva.,artist_expansion_v2
ambient,Fennesz,Austria,,Ambient experimental com guitarra processada e granulos digitais.,artist_expansion_v2
ambient,Robert Rich,United States,,Ambient organico com drones longos e sensacao de viagem interior.,artist_expansion_v2
chillout,Massive Attack,United Kingdom,,Chillout e trip-hop escuro com baixo profundo e vocal marcante.,artist_expansion_v2
chillout,Portishead,United Kingdom,,Chillout e trip-hop melancolico com textura cinematografica.,artist_expansion_v2
chillout,Dub FX,Australia,,Chillout e dub electronico com voz processada e groove organico.,artist_expansion_v2
chillout,Blue States,United Kingdom,,Chillout cinematico com arranjos suaves e clima de lounge.,artist_expansion_v2
chillout,Kinobe,United Kingdom,,Chillout melodico com downtempo leve e atmosfera ensolarada.,artist_expansion_v2
slambient,Prozektor,India,,Slambient extremo com atmosfera abstrata e energia core-adjacent.,artist_expansion_v2
slambient,Neurotic Osmosis,India,,Slambient e psy extremo com textura densa e narrativa subterranea.,artist_expansion_v2
slambient,Kasatka,Russia,,Slambient/psy extremo com desenho sonoro acelerado e atmosfera ritualistica.,artist_expansion_v2
slambient,Parandroid,Germany,,Slambient e hi-tech com velocidade alta e sintese mutante.,artist_expansion_v2
slambient,Will O Wisp,Greece,,Slambient/psycore com BPM alto e imaginario psicodelico sombrio.,artist_expansion_v2
idm,Four Tet,United Kingdom,,IDM e electronica organica com batidas delicadas e textura calorosa.,artist_expansion_v2
idm,Telefon Tel Aviv,United States,,IDM emotiva com microdetalhes, glitch e melodia fragil.,artist_expansion_v2
idm,Mouse On Mars,Germany,,IDM experimental com humor sonoro e ritmos elastico-digitais.,artist_expansion_v2
idm,Apparat,Germany,,IDM e electronica emotiva com melodias amplas e textura vocal.,artist_expansion_v2
idm,Oneohtrix Point Never,United States,,IDM e experimental digital com colagens futuristas e sintese complexa.,artist_expansion_v2
electro,Anthony Rother,Germany,,Electro futurista com vocoder, sequencias frias e pulso robotico.,artist_expansion_v2
electro,Egyptian Lover,United States,,Electro classico com drum machines, vocoder e energia funk futurista.,artist_expansion_v2
electro,Model 500,United States,,Electro/techno de Detroit com visao futurista e groove sintetico.,artist_expansion_v2
electro,Dopplereffekt,United States,,Electro frio e conceitual com estetica cientifica e baixo seco.,artist_expansion_v2
electro,DMX Krew,United Kingdom,,Electro divertido com synths analogicos e heranca rave.,artist_expansion_v2
brazilian_funk,DJ Polyvox,Brazil,,Funk brasileiro de baile com montagem ritmica e grave frontal.,artist_expansion_v2
brazilian_funk,DJ GBR,Brazil,,Funk brasileiro de pista com producao direta e energia de baile.,artist_expansion_v2
brazilian_funk,DJ Perera,Brazil,,Funk brasileiro com batida forte e linguagem de fluxo urbano.,artist_expansion_v2
brazilian_funk,DJ Biel do Furduncinho,Brazil,,Funk carioca de alta circulacao com ritmo marcado e vocal de baile.,artist_expansion_v2
brazilian_funk,DJ RD da NH,Brazil,,Funk brasileiro com grave pesado e identidade de baile.,artist_expansion_v2
gabber,Miss K8,Ukraine,,Gabber e hardcore de festival com kicks agressivos e energia extrema.,artist_expansion_v2
gabber,Noize Suppressor,Italy,,Gabber/hardcore italiano com impacto forte e producao pesada.,artist_expansion_v2
gabber,Endymion,Netherlands,,Gabber/hardcore melodico com pressao e clima sombrio.,artist_expansion_v2
gabber,The Outside Agency,Netherlands,,Gabber e industrial hardcore com desenho sonoro escuro e intenso.,artist_expansion_v2
gabber,Dr. Peacock,France,,Gabber/frenchcore com velocidade alta e melodias expansivas.,artist_expansion_v2
hardstyle,Noisecontrollers,Netherlands,,Hardstyle melodico com kicks definidos e energia de festival.,artist_expansion_v2
hardstyle,Frontliner,Netherlands,,Hardstyle com melodias antemicas e drive euforico.,artist_expansion_v2
hardstyle,Atmozfears,Netherlands,,Hardstyle moderno com leads emocionais e kicks precisos.,artist_expansion_v2
hardstyle,Technoboy,Italy,,Hardstyle classico italiano com energia rave e kicks marcantes.,artist_expansion_v2
hardstyle,Zatox,Italy,,Hardstyle pesado com riffs fortes e atitude de festival.,artist_expansion_v2
psytrance,Soundaholix,Israel,,Psytrance de pista com groove firme e linguagem melodica direta.,artist_expansion_v2
psytrance,Protoculture,South Africa,,Psytrance melodico e progressivo com producao limpa e energia aberta.,artist_expansion_v2
forest_psy,Ka-Sol,Sweden,,Forest psy escandinavo com atmosfera organica e estruturas hipnoticas.,artist_expansion_v2
forest_psy,Goch,North Macedonia,,Forest psy denso com groove subterraneo e textura ritualistica.,artist_expansion_v2
dark_psy,Zik,Greece,,Dark psy extremo com arranjos intensos e clima de madrugada profunda.,artist_expansion_v2
dark_psy,Megalopsy,Argentina,,Dark psy sul-americano com psicodelia pesada e narrativa noturna.,artist_expansion_v2
dark_experimental,Metaphyz,France,,Dark experimental com atmosfera abstrata e desenho sonoro pesado.,artist_expansion_v2
dark_experimental,Kulu,Israel,,Dark experimental com tensao psicodelica e estruturas menos previsiveis.,artist_expansion_v2
psycore,Noise Gust,Japan,,Psycore veloz com textura extrema e energia frenetica.,artist_expansion_v2
psycore,Dark Septum,Portugal,,Psycore noturno com BPM alto e timbres agressivos.,artist_expansion_v2
freeform,Erthran,Finland,,Freeform suomisaundi com groove solto e imaginario psicodelico.,artist_expansion_v2
freeform,Omitomi,Finland,,Freeform finlandes com humor sonoro e estrutura mutante.,artist_expansion_v2
full_on,Zyce,Serbia,,Full-on e progressive psy com drive moderno e melodia clara.,artist_expansion_v2
full_on,Vertical Mode,Israel,,Full-on moderno com baixo forte e construcao de festival.,artist_expansion_v2
full_on_night,CPU,Switzerland,,Full-on noturno tecnico com linhas acidas e energia direta.,artist_expansion_v2
full_on_night,Painkiller,Israel,,Full-on night de alta pressao com drops fortes e atmosfera escura.,artist_expansion_v2
full_on_morning,Sonic Entity,Serbia,,Full-on morning melodico com groove aberto e energia de sunrise.,artist_expansion_v2
full_on_morning,Relativ,Brazil,,Full-on morning brasileiro com drive limpo e linhas expansivas.,artist_expansion_v2
progressive_psy,Ticon,Sweden,,Progressive psy/psyprog com groove elegante e longa progressao.,artist_expansion_v2
progressive_psy,Vibrasphere,Sweden,,Progressive psy melodico com atmosfera ampla e sensacao de viagem.,artist_expansion_v2
hi_tech,Yatzee,France,,Hi-tech psicodelico com velocidade alta e sintetizadores cortantes.,artist_expansion_v2
hi_tech,Insector,Russia,,Hi-tech intenso com desenho sonoro acido e energia extrema.,artist_expansion_v2
dark_progressive,Electrypnose,Switzerland,,Dark progressive e psy experimental com textura profunda e narrativa longa.,artist_expansion_v2
