style,artist,song,label,bpm_exact,preview_url,release_date,duration_sec,country,city,artist_bio,artist_genre,artist_profile_hint,source
prog_dark,Ambler,Syncing In,Zenon Records,135,,2024-08-23,390,,,Ambler com arquitetura sonora progressiva,Prog Dark / Zenonesque,Groove seco e hipnotico,dataset_v14_prog_dark_seed_20260319
prog_dark,Gumnut,Nectar,Zenon Records,136,,2024-11-29,386,,,Gumnut com assinatura dark progressive,Prog Dark / Zenonesque,Projeto associado ao universo zenonesque,dataset_v14_prog_dark_seed_20260319
prog_dark,Taavi,I Care About Track Names,Zenon Records,136,,2026-03-05,404,,,Taavi no recorte prog dark,Prog Dark / Zenonesque,Lancamento recente com perfil de pista,dataset_v14_prog_dark_seed_20260319
prog_dark,Dividuum,Continuum Dividare,Zenon Records,136,,2025-04-18,412,,,Dividuum com narrativa ritmica densa,Prog Dark / Zenonesque,Faixa de progressao longa e textura escura,dataset_v14_prog_dark_seed_20260319
prog_dark,Merkaba,Mental Monkey Bars,Prog Dark Community,136,,2024-06-14,395,,,Merkaba em trilha dark progressive,Prog Dark / Zenonesque,Projeto conhecido por fusao psy e dark prog,dataset_v14_prog_dark_seed_20260319
prog_dark,ETN,All Over,Prog Dark Community,137,,2024-06-14,391,,,ETN em trilha de atmosfera noturna,Prog Dark / Zenonesque,Grove progressivo com assinatura escura,dataset_v14_prog_dark_seed_20260319
prog_dark,One Tasty Morsel,Get Your Wide On,Prog Dark Community,136,,2024-06-14,394,,,One Tasty Morsel em registro zenonesque,Prog Dark / Zenonesque,Faixa de progressao hipnotica,dataset_v14_prog_dark_seed_20260319
prog_dark,VCode,Tercidian Passanger,Prog Dark Community,136,,2024-06-14,392,,,VCode em trilha de dark prog,Prog Dark / Zenonesque,Projeto com recorte psicodelico sombrio,dataset_v14_prog_dark_seed_20260319
prog_dark,Triphonic,Raimondi Stela,Prog Dark Community,136,,2024-06-14,396,,,Triphonic em registro progressivo escuro,Prog Dark / Zenonesque,Faixa com drive linear e profundo,dataset_v14_prog_dark_seed_20260319
prog_dark,Anormic,Altering Senses,Prog Dark Community,136,,2024-06-14,390,,,Anormic com narrativa de pista zenonesque,Prog Dark / Zenonesque,Textura escura e andamento controlado,dataset_v14_prog_dark_seed_20260319
prog_dark,Breger,Zero Demands,Prog Dark Community,136,,2024-06-14,403,,,Breger com assinatura dark progressive,Prog Dark / Zenonesque,Projeto com atmosfera tensa e groove hipnotico,dataset_v14_prog_dark_seed_20260319
prog_dark,Hellquist,Split Half,Prog Dark Community,136,,2024-06-14,387,,,Hellquist em faixa de eixo prog dark,Prog Dark / Zenonesque,Trilha com progressao linear e seca,dataset_v14_prog_dark_seed_20260319
prog_dark,Paracozm,Singularity,Prog Dark Community,136,,2024-06-14,393,,,Paracozm com recorte dark psytech,Prog Dark / Zenonesque,Projeto orientado a pista noturna,dataset_v14_prog_dark_seed_20260319
prog_dark,Ivort,A Fragment of Time,Prog Dark Community,136,,2024-06-14,399,,,Ivort com progressao extensa e densa,Prog Dark / Zenonesque,Faixa com caracter zenonesque,dataset_v14_prog_dark_seed_20260319
prog_dark,Braindrop,Wooden Vibration,Prog Dark Community,136,,2024-06-14,397,,,Braindrop em trilha dark progressive,Prog Dark / Zenonesque,Projeto com timbre psicodelico profundo,dataset_v14_prog_dark_seed_20260319
prog_dark,Alchemy Circle,Focus Point,Prog Dark Community,136,,2024-06-14,391,,,Alchemy Circle com foco em groove sombrio,Prog Dark / Zenonesque,Leitura progressiva orientada a pista,dataset_v14_prog_dark_seed_20260319
